DateTime,AddedIPs,RemovedIPs
1608954646,0,1
1608960880,1,0
1608962633,2,0
1608965438,1,0
1608971685,1,1
1608975277,2,1
1608978349,2,0
1608979697,2,2
1608982474,0,2
1608984271,1,0
1608988921,2,0
1608996877,0,1
1608999579,0,1
1609003539,1,1
1609021224,1,0
1609023458,9,0
1609035943,1,0
1609036477,0,2
1609043681,0,1
1609047284,1,0
1609048656,1,0
1609050137,1,0
1609053933,8,0
1609059242,1,0
1609061139,0,1
1609061687,0,1
1609065279,1,0
1609068879,0,1
1609076082,0,1
1609079137,0,1
1609083283,0,1
1609084383,0,1
1609085984,0,1
1609103430,2,0
1609114720,1,0
1609122884,0,1
1609127441,0,1
1609130085,0,2
1609133683,0,2
1609134890,0,1
1609140876,0,2
1609142986,0,1
1609144480,0,1
1609149036,0,2
1609155279,5,1
1609157585,0,2
1609162478,1,0
1609165264,1,0
1609170796,1,0
1609174247,0,1
1609177296,1,0
1609187674,1,0
1609190749,2,0
1609192240,0,1
1609194879,0,9
1609201074,1,0
1609203040,0,1
1609214096,1,0
1609215946,0,1
1609217880,1,0
1609220079,0,1
1609223162,1,2
1609224645,1,0
1609228242,1,0
1609230328,0,1
1609231846,0,2
1609238072,5,0
1609241684,1,0
1609246237,1,0
1609248873,2,0
1609256082,0,6
1609263275,1,0
1609265448,1,0
1609270472,1,0
1609274079,2,1
1609277682,1,0
1609287181,3,0
1609302887,1,0
1609306486,1,0
1609312403,0,1
1609319565,1,0
1609326888,5,3
1609331148,2,0
1609332637,1,0
1609338338,1,1
1609341043,1,0
1609342889,0,4
1609346083,0,2
1609347657,1,0
1609349679,0,1
1609356877,1,1
1609359944,1,0
1609361435,0,2
1609366047,1,0
1609368645,1,0
1609371281,0,1
1609374341,2,0
1609378481,1,0
1609385685,0,1
1609386840,0,1
1609392881,0,1
1609394870,0,1
1609399550,0,1
1609403679,1,0
1609405153,0,2
1609407275,0,3
1609408716,1,0
1609410340,1,0
1609417541,0,1
1609418076,0,1
1609419758,0,1
1609427565,1,0
1609436076,0,2
1609439140,2,0
1609441155,0,1
1609442743,2,0
1609443280,0,2
1609446881,0,1
1609449943,1,0
1609456904,0,1
1609460735,0,3
1609464351,1,0
1609472088,2,0
1609476650,0,1
1609479283,1,0
1609481501,2,0
1609489539,1,1
1609496740,2,0
1609498244,1,2
1609500340,1,1
1609501833,1,0
1609504479,1,1
1609508078,1,0
1609511678,0,1
1609514736,1,0
1609515275,0,5
1609517871,1,1
1609526080,7,1
1609527956,0,1
1609533273,1,0
1609536884,0,1
1609539936,0,1
1609543541,0,1
1609546096,0,1
1609554340,1,0
1609562083,1,0
1609572878,0,1
1609576487,1,0
1609579542,0,1
1609594994,0,1
1609598073,2,0
1609607175,1,0
1609608874,1,2
1609612473,0,1
1609630476,0,1
1609632820,1,0
1609634079,0,1
1609638822,0,2
1609641276,1,0
1609648483,0,1
1609650900,0,2
1609655676,1,0
1609659278,1,1
1609662337,1,1
1609664638,1,0
1609666478,0,2
1609668283,0,1
1609670070,0,1
1609672073,0,1
1609674474,0,1
1609676738,1,0
1609679239,1,1
1609684474,0,1
1609688077,0,1
1609691138,1,0
1609696234,2,7
1609698342,1,0
1609702473,0,1
1609711621,1,1
1609732450,0,1
1609737526,1,0
1609745675,2,1
1609746950,1,0
1609754197,1,0
1609755937,2,1
1609758171,1,1
1609763058,0,2
1609764640,1,0
1609766734,3,1
