DateTime,Entries,UniqueIPs
1610093687,2238,2238
1610094879,2215,2215
1610097111,2196,2196
1610098481,2179,2179
1610100388,2172,2172
1610102080,2171,2171
1610103378,2172,2172
1610105683,2164,2164
1610109284,2147,2147
1610110383,2150,2150
1610112342,2152,2152
1610115943,2129,2129
1610116477,2109,2109
1610117635,2100,2100
1610119361,2046,2046
1610120079,2018,2018
1610123699,2008,2008
1610124889,2006,2006
1610126244,1996,1996
1610127279,1995,1995
1610128671,1998,1998
1610130046,2002,2002
1610130882,2000,2000
1610132208,2011,2011
1610133941,2021,2021
1610134481,2018,2018
1610138259,1894,1894
1610139464,1902,1902
1610141681,1907,1907
1610145277,1919,1919
1610146755,1930,1930
1610148084,1948,1948
1610148882,1946,1946
1610150370,1948,1948
1610151952,1959,1959
1610153446,1954,1954
1610155543,1957,1957
1610159689,1972,1972
1610161386,1982,1982
1610163289,1992,1992
1610165177,2010,2010
1610166891,2011,2011
1610168660,2023,2023
1610170481,2025,2025
1610172247,2017,2017
1610173540,2028,2028
1610175039,1974,1974
1610177680,1975,1975
1610181282,1930,1930
1610183022,1925,1925
1610184879,1926,1926
1610187945,1931,1931
1610189442,1930,1930
1610192081,1929,1929
1610194572,1925,1925
1610195678,1927,1927
1610197625,1924,1924
1610198744,1939,1939
1610200245,1928,1928
1610202344,1930,1930
1610203707,1925,1925
1610204912,1916,1916
1610206747,1911,1911
1610207976,1899,1899
1610209541,1914,1914
1610210689,1903,1903
1610212164,1905,1905
1610213494,1902,1902
1610214644,1908,1908
1610216195,1909,1909
1610217289,1909,1909
1610219424,1913,1913
1610221275,1772,1772
1610222683,1774,1774
1610223943,1783,1783
1610225344,1770,1770
1610226679,1768,1768
1610228082,2043,2043
1610229252,2351,2351
1610231144,2333,2333
1610232646,2327,2327
1610235291,2313,2313
1610236462,2313,2313
1610238343,2310,2310
1610238883,2308,2308
1610240370,2307,2307
1610241506,2320,2320
1610242998,2313,2313
1610244211,2314,2314
1610246083,2313,2313
1610248651,2315,2315
1610249754,2314,2314
1610251373,2308,2308
1610252730,2313,2313
1610254250,2311,2311
1610255924,2307,2307
1610256882,2299,2299
1610259719,2299,2299
1610262351,2304,2304
1610264079,2305,2305
1610265859,2300,2300
1610267679,2300,2300
1610269064,2300,2300
1610270394,2293,2293
1610271728,2283,2283
1610273183,2280,2280
1610274343,2284,2284
1610275849,2278,2278
1610277625,2277,2277
1610278483,2270,2270
1610280360,2413,2413
1610282083,2412,2412
1610285680,2407,2407
1610289281,2394,2394
1610290391,2406,2406
1610292082,2416,2416
1610292878,2409,2409
1610294628,2411,2411
1610295924,2417,2417
1610298777,2407,2407
1610300070,2393,2393
1610302685,2394,2394
1610303684,2388,2388
1610304841,2391,2391
1610306516,2397,2397
1610307702,2388,2388
1610310167,2402,2402
1610310884,2394,2394
1610312701,2388,2388
1610314482,2385,2385
1610316386,2380,2380
1610317543,2388,2388
1610318686,2391,2391
1610320422,2394,2394
1610321693,2382,2382
1610325289,2431,2431
1610328887,2458,2458
1610332481,2431,2431
1610335203,2432,2432
1610336086,2418,2418
1610339690,2420,2420
1610342526,2421,2421
1610343709,2404,2404
1610346340,2414,2414
1610348279,2410,2410
1610349940,2407,2407
1610350483,2395,2395
1610354103,2408,2408
1610355427,2421,2421
1610357141,2423,2423
1610357684,2416,2416
1610360509,2436,2436
1610362152,2425,2425
1610363887,2425,2425
1610364882,2429,2429
1610367680,2435,2435
1610368483,2416,2416
1610369960,2413,2413
1610372085,2414,2414
1610373397,2415,2415
1610374888,2418,2418
1610375682,2409,2409
1610377573,2407,2407
1610379282,2409,2409
1610380787,2409,2409
1610382167,2412,2412
1610382884,2394,2394
1610384252,2393,2393
1610385942,2390,2390
1610386481,2378,2378
1610388051,2370,2370
1610389538,2386,2386
1610390084,2371,2371
1610391864,2383,2383
1610393682,2403,2403
1610396191,2400,2400
1610397281,2523,2523
1610400884,2736,2736
1610402197,2630,2630
1610403823,2540,2540
1610404485,2539,2539
1610406502,2544,2544
1610408801,2558,2558
1610410563,2565,2565
1610411687,2539,2539
1610413775,2533,2533
1610415282,2543,2543
1610418886,2619,2619
1610422484,2663,2663
1610426089,2696,2696
1610427255,2702,2702
1610429160,2717,2717
1610430644,2708,2708
1610432085,2677,2677
1610433279,2675,2675
1610435149,2681,2681
1610436881,2698,2698
1610438380,2698,2698
1610439942,2715,2715
1610440479,2711,2711
1610442018,2718,2718
1610443187,2722,2722
1610445044,2726,2726
1610447140,2749,2749
1610448640,2752,2752
1610450139,2638,2638
1610451281,2633,2633
1610453150,2639,2639
1610454879,2708,2708
1610456792,2729,2729
1610458480,2892,2892
1610460279,2879,2879
1610462084,2874,2874
1610463852,2888,2888
1610464976,2893,2893
1610466647,2888,2888
1610468175,2887,2887
1610469351,2885,2885
1610470776,2878,2878
1610472041,2878,2878
1610473581,2864,2864
1610474928,2856,2856
1610476494,2884,2884
1610478354,3035,3035
1610480080,3039,3039
1610481783,3043,3043
1610483685,3037,3037
1610485784,3043,3043
1610487316,3057,3057
1610489260,3066,3066
1610490882,3070,3070
1610493227,3075,3075
1610494499,3052,3052
1610495785,3031,3031
1610496953,3015,3015
1610498088,3010,3010
1610501681,3019,3019
1610503034,3028,3028
1610504742,3065,3065
1610506247,3048,3048
1610508883,3049,3049
1610510925,3051,3051
1610512485,3049,3049
1610514370,3049,3049
1610516084,3051,3051
1610517553,3051,3051
1610519030,3058,3058
1610519685,3051,3051
1610522097,3038,3038
1610523279,3049,3049
1610524490,3092,3092
1610526882,3088,3088
1610528357,3090,3090
1610529907,3111,3111
1610531612,3103,3103
1610532714,3106,3106
1610534090,3079,3079
1610535406,3083,3083
1610537682,3093,3093
1610538801,3097,3097
1610539988,3106,3106
1610541525,3103,3103
1610544342,3099,3099
1610545729,3093,3093
1610547058,3080,3080
1610548478,3071,3071
