DateTime,AddedIPs,RemovedIPs
1610097092,361,63
1610098459,192,39
1610100365,278,82
1610102059,240,55
1610103357,225,21
1610105663,340,93
1610109259,649,124
1610110363,205,21
1610112317,301,54
1610115918,621,150
1610116456,89,40
1610117612,229,13
1610119340,307,48
1610120057,105,51
1610123676,517,231
1610124870,216,35
1610126197,224,68
1610127257,192,80
1610128650,234,43
1610130006,200,76
1610130858,125,92
1610132185,163,42
1610133918,262,60
1610134458,91,62
1610136450,234,76
1610138234,255,59
1610139443,138,21
1610141658,317,81
1610145256,435,138
1610146692,185,14
1610148058,89,33
1610148858,28,29
1610150348,77,59
1610151920,71,13
1610153421,64,108
1610155517,88,1291
1610159666,370,202
1610161222,125,71
1610162651,112,7
1610163261,50,65
1610165072,103,89
1610166865,124,76
1610168607,91,103
1610170458,105,111
1610172222,89,115
1610173518,94,6
1610175016,149,155
1610177658,374,239
1610181258,644,161
1610182969,281,52
1610184858,237,49
1610187918,372,58
1610189418,189,227
1610192059,379,446
1610194536,402,114
1610195658,157,109
1610197605,241,127
1610198718,134,3
1610200222,135,225
1610202320,264,143
1610203686,188,192
1610204888,178,109
1610206727,280,175
1610207950,195,201
1610209518,290,14
1610210660,196,299
1610212139,254,138
1610213454,212,168
1610214619,168,55
1610216150,194,138
1610217266,119,149
1610219395,288,208
1610221249,266,372
1610222642,189,195
1610223920,148,8
1610225308,179,343
1610226656,132,147
1610228059,99,215
1610229217,105,71
1610231120,295,166
1610232618,122,93
1610235264,313,160
1610236432,77,43
1610238320,101,81
1610238859,33,96
1610240346,72,77
1610241484,398,53
1610242973,180,149
1610244183,82,50
1610246060,68,64
1610248588,118,81
1610249729,39,74
1610251317,66,123
1610254220,115,245
1610255896,69,149
1610256860,55,204
1610259697,107,199
1610262331,1277,543
1610264058,446,177
1610265839,156,185
1610267658,149,252
1610269044,96,65
1610270374,74,121
1610271707,128,218
1610273157,75,166
1610274318,132,4
1610275822,111,317
1610277053,86,181
1610278463,117,224
1610280337,601,277
1610282061,255,188
1610285658,543,523
1610287488,79,309
1610288716,90,1
1610289257,166,283
1610290370,417,72
1610292857,461,351
1610294409,316,203
1610295575,301,20
1610298757,898,453
1610300061,487,251
1610302662,799,295
1610303663,293,241
1610304798,254,95
1610306494,486,146
1610307673,321,309
1610310145,473,167
1610310860,110,203
1610312639,253,221
1610314458,299,204
1610316343,294,252
1610317518,230,23
1610318665,198,113
1610320392,223,61
1610321663,117,55
1610325268,330,267
1610328859,344,256
1610332459,366,177
1610335178,223,72
1610336062,80,57
1610339125,259,77
1610339662,42,64
1610343689,353,231
1610346319,253,137
1610348258,233,230
1610349918,260,144
1610350458,86,194
1610354080,490,386
1610355403,176,50
1610357117,248,79
1610357662,57,123
1610360489,334,181
1610362132,223,248
1610363854,162,159
1610364861,113,167
1610367660,284,172
1610368458,98,98
1610370965,329,121
1610372061,136,115
1610373372,175,70
1610374863,192,119
1610375661,94,126
1610377492,199,185
1610379260,204,245
1610380767,164,233
1610382131,141,156
1610382859,103,183
1610384227,151,72
1610385920,167,137
1610386458,57,174
1610389500,374,146
1610390059,56,146
1610391835,201,157
1610393659,201,175
1610395176,167,148
1610396719,150,11
1610397258,52,80
1610400860,320,329
1610402175,100,49
1610403793,134,99
1610404459,70,143
1610408774,360,154
1610410538,133,22
1610411658,81,273
1610413752,130,84
1610415260,127,21
1610418860,234,112
1610425523,444,128
1610426061,47,33
1610427223,82,29
1610429133,112,37
1610430620,99,155
1610432065,84,883
1610433257,76,548
1610435127,120,285
1610436859,103,132
1610438355,109,138
1610439918,164,87
1610440458,39,139
1610441977,108,93
1610443166,81,29
1610445020,151,192
1610447118,149,114
1610448618,99,271
1610450110,100,726
1610451258,74,260
1610453130,137,375
1610454858,125,165
1610456771,133,114
1610458459,122,104
1610460251,122,508
1610462058,106,290
1610463819,112,272
1610464956,73,30
1610466618,123,228
1610468147,88,241
1610469331,94,262
1610470750,91,330
1610472013,71,24
1610473544,110,406
1610474906,73,254
1610476473,180,269
1610478333,213,288
1610480058,209,272
1610481722,184,220
1610483663,262,218
1610485761,167,235
1610487273,111,251
1610489233,145,314
1610490858,163,145
1610494467,233,314
1610495759,85,53
1610496926,68,106
1610498062,81,165
1610501658,226,287
1610502995,54,43
1610504719,109,112
1610506222,79,191
1610508859,165,317
1610510886,135,225
1610512460,104,159
1610514336,106,154
1610516059,103,239
1610517474,89,57
1610519663,129,411
1610522082,141,245
1610523258,70,183
1610524470,64,77
1610526861,149,439
1610528273,109,73
1610529428,82,132
1610530944,93,226
1610532178,85,164
