DateTime,AddedIPs,RemovedIPs
1609909265,26,23
1609911144,20,26
1609913058,21,24
1609915038,16,0
1609916897,23,0
1609918836,22,31
1609920763,27,29
1609922666,26,29
1609924603,28,35
1609926534,39,32
1609928437,41,0
1609930339,22,44
1609933230,26,71
1609935174,24,34
1609937075,22,22
1609939231,36,29
1609941183,32,23
1609943101,28,25
1609945017,32,19
1609946907,25,20
1609948846,31,15
1609953634,31,72
1609955541,25,29
1609957522,29,22
1609960384,26,23
1609962277,22,15
1609964199,20,22
1609966149,25,24
1609968058,21,26
1609969944,22,11
1609971895,28,21
1609973803,24,16
1609975729,20,26
1609977679,15,14
1609979565,21,23
1609981472,18,22
1609984353,28,42
1609986305,24,26
1609988209,24,24
1609990335,21,25
1609992282,30,30
1609994229,36,27
1609996117,21,28
1609998031,36,6
1609999964,30,31
1610001863,41,17
1610003825,27,21
1610005737,21,22
1610007621,27,28
1610009529,24,26
1610011494,19,31
1610013382,25,37
1610015551,18,39
1610017517,37,21
1610019398,21,0
1610021366,31,30
1610023235,19,24
1610025142,31,23
1610027106,29,31
1610028991,26,33
1610032859,23,54
1610034764,36,30
1610036654,23,29
1610038613,29,0
1610040503,26,29
1610042669,19,23
1610044623,32,32
1610046585,29,0
1610048452,10,32
1610050339,19,23
1610052318,23,14
1610055158,25,46
1610057080,15,21
1610059016,13,27
1610061894,21,21
1610064776,22,42
1610066657,17,20
1610068581,18,21
1610070536,20,0
1610072430,20,24
1610074338,26,30
1610076339,23,24
1610078197,22,22
1610080356,26,29
1610082310,30,32
1610084198,18,22
1610086091,29,39
1610088970,37,64
1610090930,34,18
1610092827,27,30
1610094779,36,31
1610096713,39,31
1610098597,24,29
1610100510,31,26
1610102477,32,13
1610104368,42,38
1610107247,34,22
1610109186,33,29
1610111066,36,17
1610112997,36,30
1610115869,30,56
1610117814,45,0
1610119704,34,25
1610121688,29,29
1610123548,32,24
1610125473,33,30
1610127438,28,23
1610129333,30,23
1610134104,27,58
1610136132,38,11
1610138225,28,21
1610140105,26,20
1610142024,27,27
1610143988,29,17
1610145880,18,16
1610147778,30,0
1610149752,34,20
1610152628,26,22
1610154515,21,20
1610156670,33,18
1610158626,32,20
1610160503,29,20
1610162435,18,22
1610164394,29,24
1610166275,31,23
1610168234,30,18
1610170117,29,31
1610172972,33,45
1610174901,30,0
1610177787,27,56
1610179744,38,24
1610181655,23,27
1610183553,31,34
1610185503,36,32
1610187388,27,38
1610189305,31,40
1610193145,27,37
1610195068,25,33
1610197026,35,32
1610198908,30,28
1610200887,21,34
1610204696,32,66
1610206619,17,36
1610208522,31,25
1610210443,22,31
1610213348,31,28
1610215284,30,29
1610218143,18,30
1610221047,14,28
1610222912,24,36
1610224860,17,21
1610226816,24,27
1610228668,16,25
1610230576,13,23
1610232533,23,16
1610234441,27,27
1610236349,15,28
1610238335,23,0
1610240223,31,21
1610242105,22,21
1610244085,20,28
1610245946,19,33
1610247872,16,35
1610249833,27,22
1610251726,26,25
1610254867,27,63
1610256756,29,31
1610258677,25,0
1610260616,26,37
1610262495,24,32
1610264423,16,23
1610266371,23,46
1610268273,37,18
1610270181,27,39
1610272134,32,40
1610275015,25,37
1610276900,37,37
1610278818,27,0
1610280773,37,26
1610282702,22,38
1610284642,34,34
1610286524,31,36
1610288426,33,23
1610290379,29,0
1610292296,23,32
1610294201,33,17
1610296151,36,34
1610298033,24,26
1610299957,22,25
1610303793,19,34
1610305762,23,19
1610307638,14,10
1610309541,22,23
1610311505,12,21
1610313389,22,21
1610317297,20,29
1610319147,22,18
1610321060,25,27
1610323021,30,16
1610324930,17,23
1610326830,26,29
1610328787,29,23
1610330669,14,17
1610332580,24,21
1610334536,18,22
1610337419,32,25
1610342219,26,51
1610344088,23,17
1610346055,22,33
1610347931,27,27
1610349870,27,26
1610351811,32,22
1610353698,25,29
1610355678,28,36
1610358509,34,26
1610361396,31,34
1610363310,31,55
1610365235,26,30
1610367165,29,0
1610369048,30,41
1610371248,30,50
1610373159,29,29
1610375103,28,36
1610376987,27,31
1610379170,33,23
1610381074,31,31
1610383033,29,35
1610384922,27,25
1610387800,22,21
1610389696,30,0
1610391668,23,15
1610394543,26,46
1610396420,29,23
1610399330,24,14
1610401218,26,19
1610404116,22,19
1610406068,25,25
1610408013,24,24
1610409908,16,30
1610411821,28,20
1610413720,28,26
1610415638,24,19
1610417583,26,30
1610419472,28,18
1610421380,17,24
1610423350,22,0
