DateTime,AddedIPs,RemovedIPs
1609909265,48,50
1609911144,33,47
1609913058,33,25
1609915038,33,44
1609916897,38,37
1609918836,43,39
1609920763,49,42
1609922666,41,49
1609924603,43,38
1609926534,51,44
1609928437,59,55
1609930339,47,57
1609933230,46,43
1609935174,40,48
1609937075,44,40
1609939231,49,44
1609941183,47,51
1609943101,39,45
1609945017,50,39
1609946907,49,52
1609948846,50,47
1609953634,43,48
1609955541,47,47
1609957522,53,45
1609960384,42,50
1609962277,41,42
1609964199,32,39
1609966149,39,34
1609968058,38,40
1609969944,33,41
1609971895,47,32
1609973803,36,45
1609975729,34,38
1609977679,34,34
1609979565,44,34
1609981472,30,37
1609984353,49,34
1609986305,42,53
1609988209,41,42
1609990335,39,39
1609992282,40,31
1609994229,50,48
1609996117,43,45
1609998031,66,51
1609999964,50,68
1610001863,62,47
1610003825,37,54
1610005737,37,39
1610007621,45,43
1610009529,51,47
1610011494,45,43
1610013382,45,49
1610015551,39,46
1610017517,58,40
1610019398,42,57
1610021366,54,40
1610023235,38,55
1610025142,54,38
1610027106,51,58
1610028991,43,46
1610032859,34,44
1610034764,46,40
1610036654,36,43
1610038613,40,37
1610040503,47,40
1610042669,38,39
1610044623,54,41
1610046585,43,53
1610048452,33,44
1610050339,36,31
1610052318,43,37
1610055158,45,40
1610057080,32,46
1610059016,33,35
1610061894,36,36
1610064776,35,32
1610066657,40,31
1610068581,32,44
1610070536,33,33
1610072430,33,32
1610074338,38,37
1610076339,34,39
1610078197,37,34
1610080356,47,36
1610082310,57,42
1610084198,40,62
1610086091,50,40
1610088970,52,50
1610090930,48,51
1610092827,36,47
1610094779,56,40
1610096713,57,54
1610098597,50,56
1610100510,50,45
1610102477,57,57
1610104368,57,58
1610107247,56,56
1610109186,59,57
1610111066,52,60
1610112997,60,51
1610115869,56,56
1610117814,59,61
1610119704,57,59
1610121688,52,57
1610123548,60,52
1610125473,54,58
1610127438,53,55
1610129333,50,50
1610134104,55,54
1610136132,55,52
1610138225,42,55
1610140105,42,38
1610142024,48,43
1610143988,46,43
1610145880,42,49
1610147778,46,40
1610149752,54,49
1610152628,44,56
1610154515,46,41
1610156670,50,48
1610158626,47,45
1610160503,59,53
1610162435,49,55
1610164394,49,49
1610166275,51,54
1610168234,53,50
1610170117,60,54
1610172972,58,65
1610174901,52,56
1610177787,46,53
1610179744,68,46
1610181655,48,68
1610183553,58,44
1610185503,52,61
1610187388,57,49
1610189305,49,56
1610193145,54,53
1610195068,55,50
1610197026,58,58
1610198908,54,56
1610200887,44,56
1610204696,46,42
1610206619,42,46
1610208522,48,41
1610210443,47,48
1610213348,46,46
1610215284,48,42
1610218143,42,51
1610221047,32,36
1610222912,48,31
1610224860,44,56
1610226816,43,43
1610228668,32,39
1610230576,31,29
1610232533,39,33
1610234441,52,43
1610236349,39,54
1610238335,42,36
1610240223,49,45
1610242105,47,49
1610244085,43,42
1610245946,44,46
1610247872,35,35
1610249833,52,41
1610251726,45,56
1610254867,51,46
1610256756,52,53
1610258677,39,30
1610260616,48,59
1610262495,44,49
1610264423,49,46
1610266371,48,48
1610268273,54,51
1610270181,47,52
1610272134,59,50
1610275015,48,54
1610276900,53,50
1610278818,53,54
1610280773,58,54
1610282702,39,54
1610284642,55,42
1610286524,49,53
1610288426,50,47
1610290379,50,55
1610292296,47,48
1610294201,49,47
1610296151,53,48
1610298033,37,51
1610299957,44,39
1610303793,37,41
1610305762,44,37
1610307638,46,38
1610309541,51,49
1610311505,28,47
1610313389,46,32
1610317297,39,48
1610319147,42,40
1610321060,44,43
1610323021,48,48
1610324930,47,44
1610326830,42,42
1610328787,47,48
1610330669,33,28
1610332580,47,51
1610334536,31,31
1610337419,57,48
1610342219,45,57
1610344088,42,39
1610346055,36,48
1610347931,40,34
1610349870,45,44
1610351811,51,47
1610353698,46,47
1610355678,54,50
1610358509,56,51
1610361396,54,59
1610363310,49,53
1610365235,51,51
1610367165,53,47
1610369048,48,55
1610371248,56,48
1610373159,41,53
1610375103,46,45
1610376987,44,47
1610379170,48,41
1610381074,49,45
1610383033,51,49
1610384922,47,56
1610387800,48,46
1610389696,52,45
1610391668,38,54
1610394543,44,35
1610396420,46,42
1610399330,44,52
1610401218,48,42
1610404116,40,48
1610406068,45,39
1610408013,43,46
1610409908,31,35
1610411821,53,42
1610413720,46,39
1610415638,50,54
1610417583,41,46
1610419472,50,46
1610421380,37,52
1610423350,42,34
1610426223,46,46
1610428112,46,37
1610430271,59,55
1610432177,49,60
1610434149,51,52
1610437252,51,51
1610439154,57,48
1610441073,53,55
1610443039,58,55
1610444913,59,57
1610447781,51,61
1610449735,47,51
1610451631,59,47
1610453573,58,58
1610455739,46,56
1610457630,57,51
1610459567,53,54
1610461499,54,53
1610463381,50,53
1610465315,45,50
1610467291,52,45
1610469148,49,53
1610471087,45,47
