DateTime,Entries,UniqueIPs
1605437739,5759,5759
1605448883,5785,5785
1605459798,5792,5792
1605470868,5811,5811
1605481891,5845,5845
1605492941,5877,5877
1605503853,5902,5902
1605514782,5922,5922
1605525748,5955,5955
1605536867,5978,5978
1605547941,5995,5995
1605558797,6016,6016
1605569748,6049,6049
1605580748,6080,6080
1605591844,6117,6117
1605602712,6138,6138
1605613676,6180,6180
1605624698,6199,6199
1605635744,6217,6217
1605646805,6246,6246
1605657843,6294,6294
1605668749,6327,6327
1605679923,6357,6357
1605690939,6372,6372
1605701981,6391,6391
1605712695,6412,6412
1605723795,6440,6440
1605734806,6472,6472
1605745851,6489,6489
1605756980,6513,6513
1605767860,6542,6542
1605778800,6565,6565
1605789847,6587,6587
1605800866,6600,6600
1605811939,6627,6627
1605822963,6652,6652
1605833986,6661,6661
1605845040,6681,6681
1605856070,6697,6697
1605867119,6712,6712
1605878113,6734,6734
1605888983,6762,6762
1605899999,6783,6783
1605911057,6814,6814
1605922081,6844,6844
1605933049,6867,6867
1605943947,6889,6889
1605954969,6910,6910
1605965827,6925,6925
1605976531,6940,6940
1605987530,6959,6959
1605998571,6981,6981
1606009595,7012,7012
1606020702,7040,7040
1606031971,7074,7074
1606043069,7101,7101
1606054454,7116,7116
1606065574,7156,7156
1606076590,7174,7174
1606087462,7212,7212
1606098463,7223,7223
1606109515,7251,7251
1606120545,7288,7288
1606131421,7305,7305
1606142221,7323,7323
1606153222,7336,7336
1606164246,7368,7368
1606175241,7387,7387
1606185936,7412,7412
1606197004,7433,7433
1606207889,7444,7444
1606218712,7462,7462
1606229749,7484,7484
1606240926,7503,7503
1606251942,7530,7530
1606262852,7546,7546
1606273949,7572,7572
1606284933,7598,7598
1606295728,7616,7616
1606306711,7635,7635
1606317813,7652,7652
1606328767,7682,7682
1606339445,7690,7690
1606350394,7716,7716
1606361500,7743,7743
1606372511,7779,7779
1606383558,7798,7798
1606394568,7803,7803
1606405500,7821,7821
1606416464,7831,7831
1606427281,7841,7841
1606438258,7871,7871
1606449387,7902,7902
1606460373,7911,7911
1606471371,7933,7933
1606482456,7953,7953
1606493524,7969,7969
1606504563,7987,7987
1606515550,8011,8011
1606526644,8041,8041
1606537706,8064,8064
1606548627,8087,8087
1606559747,8110,8110
1606570778,8143,8143
1606581587,8151,8151
1606592607,8165,8165
1606603636,8173,8173
1606614657,8188,8188
1606625708,8194,8194
1606636736,8216,8216
1606647840,8229,8229
1606658883,8249,8249
1606669890,8250,8250
1606680913,8262,8262
1606691986,8297,8297
1606703045,8328,8328
1606713940,8355,8355
1606724839,8371,8371
1606735775,8389,8389
1606746685,8414,8414
1606757767,8438,8438
1606768662,8450,8450
1606779619,8472,8472
1606790492,8500,8500
1606801301,8524,8524
1606812223,8544,8544
1606823160,8561,8561
1606834025,8570,8570
1606845063,8507,8507
1606856157,8396,8396
1606867222,8311,8311
1606878151,8213,8213
1606889069,8127,8127
1606900014,8048,8048
1606910968,7959,7959
1606921822,7905,7905
1606932961,7831,7831
1606944001,7780,7780
1606955010,7701,7701
1606966084,7615,7615
1606977116,7540,7540
1606988074,7478,7478
1606999201,7435,7435
1607010088,7368,7368
1607021004,7289,7289
1607032101,7221,7221
1607043101,7136,7136
1607054053,7056,7056
1607065191,6985,6985
1607076173,6906,6906
1607087255,6842,6842
1607098286,6765,6765
1607109328,6718,6718
1607120276,6649,6649
1607131122,6586,6586
1607142164,6529,6529
1607153186,6494,6494
1607164344,6427,6427
1607175332,6370,6370
1607186260,6327,6327
1607197105,6250,6250
1607208244,6215,6215
1607219163,6150,6150
1607229947,6118,6118
1607240801,6059,6059
1607251940,5985,5985
1607263245,5930,5930
1607274138,5861,5861
1607285006,5783,5783
1607296044,5745,5745
1607307114,5696,5696
1607317969,5653,5653
1607328960,5630,5630
1607339995,5591,5591
1607351059,5529,5529
1607362017,5507,5507
1607373087,5443,5443
1607384152,5395,5395
1607395078,5328,5328
1607405830,5308,5308
1607416789,5270,5270
1607427642,5239,5239
1607438639,5203,5203
1607449673,5166,5166
1607460613,5087,5087
1607471682,4992,4992
1607482812,4898,4898
1607493831,4810,4810
1607504753,4709,4709
1607515577,4643,4643
1607526452,4576,4576
1607537521,4513,4513
1607548550,4409,4409
1607559606,4300,4300
1607570567,4206,4206
1607581561,4122,4122
1607592461,4054,4054
1607603536,3970,3970
1607614552,3942,3942
1607625604,3927,3927
1607636646,3897,3897
1607647682,3873,3873
1607658635,3859,3859
1607669645,3822,3822
1607680497,3791,3791
1607691594,3760,3760
1607702514,3737,3737
1607713435,3706,3706
1607724473,3677,3677
1607735622,3647,3647
1607746357,3627,3627
1607757314,3591,3591
1607768373,3568,3568
1607779432,3544,3544
1607790486,3526,3526
1607801540,3509,3509
1607812424,3477,3477
1607823144,3444,3444
1607833896,3428,3428
1607844982,3411,3411
1607855670,3397,3397
1607866803,3368,3368
1607877742,3343,3343
1607888798,3347,3347
1607899850,3337,3337
1607910949,3308,3308
1607921781,3310,3310
1607932730,3292,3292
1607943800,3286,3286
1607954872,3268,3268
1607965763,3262,3262
1607976773,3253,3253
1607987734,3251,3251
1607998938,3208,3208
1608010079,3200,3200
1608020738,3200,3200
1608031651,3193,3193
1608042634,3175,3175
1608053635,3166,3166
1608064575,3171,3171
1608075849,3159,3159
1608086869,3158,3158
1608097919,3156,3156
1608108889,3149,3149
1608119881,3147,3147
1608130764,3151,3151
1608141833,3147,3147
1608152833,3137,3137
1608163854,3122,3122
1608174902,3123,3123
1608185961,3117,3117
1608197012,3118,3118
1608208291,3107,3107
1608219182,3106,3106
1608230140,3099,3099
1608241184,3099,3099
1608252179,3088,3088
1608263273,3056,3056
1608274292,3044,3044
1608285344,3040,3040
1608296429,3031,3031
1608307376,3030,3030
1608318424,3017,3017
1608329432,3005,3005
1608340553,3003,3003
1608351584,3004,3004
1608362583,2994,2994
1608373558,2996,2996
1608384438,2999,2999
1608395343,2998,2998
1608406320,2989,2989
1608417369,2989,2989
1608428378,2987,2987
1608439412,3000,3000
1608450444,2993,2993
1608461332,2992,2992
1608472150,2988,2988
1608482610,2978,2978
1608493300,2976,2976
1608504257,2968,2968
1608515162,2957,2957
1608525993,2960,2960
1608537091,2957,2957
1608548088,2956,2956
1608559081,2957,2957
1608569956,2954,2954
1608580978,2962,2962
1608591992,2959,2959
1608602894,2944,2944
1608613890,2928,2928
1608624887,2934,2934
1608636013,2936,2936
1608647008,2947,2947
1608658058,2935,2935
1608669094,2936,2936
1608680162,2929,2929
1608691148,2934,2934
1608702240,2930,2930
1608713237,2938,2938
1608724339,2930,2930
