DateTime,AddedIPs,RemovedIPs
1608706835,2,0
1608710431,1,0
1608714026,3,1
1608717626,1,0
1608721229,4,0
1608739233,1,1
1608742827,0,1
1608750026,0,8
1608753626,0,1
1608760826,1,1
1608771626,3,1
1608782429,0,2
1608786029,0,2
1608793226,1,0
1608818426,0,4
1608829226,0,1
1608832828,0,1
1608836427,1,5
1608843629,1,1
1608850827,1,0
1608854429,2,0
1608858026,2,0
1608861630,3,0
1608912030,0,1
1608933630,1,1
1608937229,1,0
1608948027,1,0
1608958829,1,0
1608962427,0,1
1608987627,1,0
1608991226,1,0
1609002026,1,0
1609005629,3,0
1609012829,1,0
1609016426,2,0
1609023629,1,0
1609030828,2,0
1609034427,5,0
1609041630,1,0
1609052427,1,2
1609059630,2,0
1609063230,1,0
1609066829,1,0
1609070427,0,1
1609077627,0,1
1609084829,2,1
1609088427,1,2
1609095629,5,2
1609099227,1,3
1609124427,1,3
1609128027,1,0
1609131630,1,1
1609138827,9,0
1609142427,1,0
1609146027,4,4
1609149627,3,0
1609153230,1,0
1609156829,0,1
1609160430,1,1
1609171228,1,0
1609174827,1,2
1609178430,3,1
1609182028,1,0
1609185628,1,3
1609189230,1,0
1609192830,10,1
1609196427,5,0
1609200031,1,2
1609203626,5,1
1609207230,2,0
1609210830,1,0
1609214430,1,0
1609218030,0,2
1609221627,0,1
1609225230,1,0
1609228828,3,1
1609236027,0,1
1609239630,4,0
1609250428,2,0
1609254027,0,7
1609257627,2,0
1609261230,1,0
1609264827,0,1
1609268426,0,1
1609279230,2,0
1609282830,2,0
1609290027,3,1
1609293630,2,0
1609297227,1,1
1609300827,2,0
1609304427,1,0
1609308029,2,1
1609315230,1,0
1609318830,4,0
1609326030,1,4
1609329630,1,1
1609333227,1,1
1609336830,1,0
1609347630,1,0
1609351231,2,0
1609354831,0,13
1609358430,1,0
1609362027,1,0
1609365627,2,0
1609369230,2,1
1609372828,2,0
1609376427,2,0
1609387227,1,0
1609394430,1,0
1609398027,2,0
1609401631,4,1
1609405231,2,0
1609419627,0,1
1609426827,1,1
1609430428,2,4
1609437627,2,0
1609441231,1,0
1609444831,1,0
1609448431,0,2
1609452031,1,0
1609462828,1,1
1609466431,0,2
1609470028,1,0
1609473629,4,0
1609477228,1,0
1609480831,4,1
1609488031,1,0
1609498828,1,3
1609502430,1,0
1609506032,1,0
1609509631,2,0
1609516828,0,1
1609520431,2,0
1609524032,3,0
1609527627,1,0
1609531228,3,0
1609538428,0,1
1609545628,1,0
1609549228,1,0
1609552828,2,0
1609556428,1,0
1609563631,4,0
1609578031,1,0
1609581633,1,0
1609585231,1,0
1609596031,1,0
1609603228,1,0
1609606828,1,1
1609610427,0,1
1609617627,4,1
1609621231,0,3
1609624831,1,1
1609628431,0,1
1609635627,1,2
1609642830,2,0
1609646431,0,1
1609650028,1,0
1609653628,2,0
1609657231,3,0
1609660830,0,1
1609664427,0,6
1609689630,1,0
1609693231,0,1
1609696830,0,2
1609700427,0,2
1609704031,4,0
1609707630,0,4
1609711231,1,7
1609714828,1,0
1609718428,6,0
1609722028,2,0
1609725627,1,0
1609736431,0,2
1609740030,2,0
1609743627,0,5
1609750827,1,0
1609754428,1,0
1609761631,0,7
1609772428,1,0
1609776027,0,7
1609783228,0,3
1609786828,0,3
1609790428,1,0
1609794027,0,1
1609797627,0,8
1609801228,3,5
1609804827,2,1
1609808429,2,1
1609812027,0,1
1609815628,1,0
1609819228,0,1
1609822831,1,0
1609826430,1,0
1609830030,2,0
1609833631,4,0
1609837228,0,6
1609840828,0,1
1609844428,0,2
1609851631,2,8
1609855227,1,0
1609858830,1,1
1609869627,1,5
1609873230,3,0
1609876830,1,0
1609880428,1,0
1609884029,1,0
1609887631,3,1
1609891231,3,3
1609894831,4,1
1609898431,3,0
1609902030,2,0
1609905631,1,0
1609912828,3,1
1609916431,0,1
1609920031,2,3
1609923631,2,5
1609927228,1,0
1609934430,1,1
1609941628,1,1
1609948828,1,1
1609952428,0,1
1609956028,5,4
1609959628,20,0
1609963231,35,1
1609966831,22,6
1609970429,22,1
1609974033,39,1
1609977641,28,4
1609981242,19,0
1609984850,34,0
1609988450,23,0
1609992050,31,0
1609995658,34,0
1609999259,18,0
1610002859,24,5
1610006450,21,0
1610010051,13,5
1610013663,23,0
1610017263,19,0
1610020864,10,0
1610024465,12,0
1610028069,12,0
1610031670,19,0
1610035271,28,4
1610038869,13,0
1610042472,27,2
1610046073,20,1
1610049670,27,1
1610053270,28,0
1610056874,24,1
1610060470,30,0
1610064075,22,0
1610067671,20,0
1610071271,36,0
1610074888,40,0
1610078490,26,5
1610082089,23,0
1610085690,30,2
1610089290,21,0
1610092892,11,0
1610096490,11,0
1610100092,10,0
1610103690,7,1
1610107290,7,1
1610110892,16,4
1610114490,12,0
1610118090,23,0
1610121692,15,0
1610125291,20,2
1610128892,24,2
1610132492,28,0
1610136091,31,3
1610139693,14,3
1610143293,28,0
1610146895,33,0
1610150497,37,0
1610154098,33,1
1610157702,25,0
1610161301,33,0
1610164904,29,0
1610168504,21,1
1610172103,23,7
1610175707,27,0
1610179310,41,0
1610182908,23,1
1610186509,13,0
1610190112,27,0
1610193712,13,1
1610197313,14,0
1610200912,4,0
1610204512,3,1
1610211714,15,2
1610215313,10,0
1610218914,7,0
1610222515,12,1
1610226116,22,2
1610229717,37,0
1610233318,28,1
1610236919,27,0
1610240523,25,1
1610244123,28,0
1610247724,23,1
1610251327,26,0
1610254927,21,0
1610258529,29,0
1610262129,21,2
1610265728,31,0
1610269332,22,0
1610272932,19,0
1610276534,22,1
1610280135,16,0
1610283736,18,0
1610287334,19,0
1610290935,9,0
1610294536,13,0
1610298137,13,1
1610301737,22,0
1610305337,10,0
1610308941,23,3
1610312540,19,1
1610316145,24,0
1610319743,24,0
1610323344,32,2
1610326946,34,0
1610330547,42,0
1610334149,39,0
1610337750,35,0
1610341351,30,0
1610344954,25,2
1610348555,30,0
1610355758,2,1
1610362956,1,0
1610366555,1,3
1610370155,1,0
1610373755,3,0
1610377354,1,0
1610380958,23,0
1610384559,43,0
1610388161,40,0
1610391763,44,0
1610395365,57,0
1610398969,49,7
1610402572,87,6
1610406176,70,2
1610409780,61,0
1610413384,74,1
1610416986,82,0
1610420588,66,0
1610424192,46,0
1610427792,53,5
1610431394,51,0
1610435000,36,0
1610438598,35,4
1610442203,22,0
1610445803,19,0
1610449402,9,0
1610453004,14,0
1610456604,14,2
1610460207,23,1
1610463810,33,1
1610467409,43,2
1610471012,45,1
1610474612,35,1
1610478215,44,0
1610481816,33,1
1610485418,41,0
1610489018,23,0
1610492626,37,1
1610496222,17,2
1610499821,28,6
1610503423,24,2
1610507025,25,1
1610510625,23,2
1610514224,20,0
1610517825,19,0
1610521427,19,0
1610525028,14,0
1610528628,13,1
1610532230,18,0
1610535831,14,2
1610539431,8,1
1610543033,9,0
1610546631,8,1
1610550231,14,0
1610553832,15,0
1610557433,14,5
1610561035,16,3
1610564636,29,2
1610568240,28,23
1610571836,28,18
1610575439,40,16
1610579036,36,30
1610582641,25,0
1610586239,24,22
1610589840,21,28
1610593438,34,19
1610597040,35,16
1610600637,28,54
1610604237,12,6
1610607838,14,31
1610611437,20,21
1610615038,25,11
1610618638,21,20
1610622237,18,7
1610625841,14,1
1610629438,9,19
1610633040,8,21
1610636639,9,19
1610640242,12,10
1610643839,20,26
1610647438,18,32
1610651038,18,17
1610654636,25,25
1610658238,19,29
1610661837,30,19
1610665439,27,23
1610669038,13,25
1610672641,28,16
1610676236,24,29
1610679837,24,25
1610683440,33,33
1610687037,26,18
1610690641,24,32
1610694237,26,25
1610697837,21,0
1610701437,18,23
1610705040,12,8
1610708637,4,0
1610712239,18,0
1610715840,15,23
1610719437,19,21
1610723042,19,17
1610726638,9,15
1610730241,14,11
1610733838,19,28
1610737439,18,19
1610741038,29,33
1610744639,11,6
1610748236,15,34
1610751836,19,34
1610755435,19,37
1610759036,11,31
1610762635,15,9
1610766235,7,33
1610769833,27,40
1610773434,18,16
1610777032,19,20
1610780634,24,19
1610784233,23,39
1610787831,15,25
1610791438,18,12
1610795030,10,22
1610798632,10,17
1610802231,7,9
1610805832,3,13
1610809433,7,0
1610813032,6,5
1610816630,10,11
1610820230,10,12
1610823832,5,3
1610827449,346,11
1610831052,109,17
1610834653,17,44
1610838251,19,26
1610841606,19,4499
1610845227,41,0
1610848827,24,0
1610852429,48,0
1610856030,39,0
1610859631,26,0
1610863228,27,0
1610866830,27,0
1610870432,29,0
1610874027,15,0
1610877632,13,0
1610881232,10,0
1610884831,21,0
1610888436,13,0
1610892051,19,0
1610895652,16,0
1610899250,19,0
1610902853,20,0
1610906449,33,0
1610910050,19,0
1610913650,24,0
1610917258,27,0
1610920857,20,0
1610924458,20,0
1610928064,33,0
1610931651,24,0
1610935265,32,0
1610938856,26,0
1610942469,18,0
1610946069,22,0
1610949674,139,43
1610953269,26,115
1610956869,24,0
1610960469,27,0
1610964069,18,0
1610967674,22,0
