DateTime,AddedIPs,RemovedIPs
1609161572,65,58
1609165175,84,41
1609168781,86,38
1609172375,96,75
1609175978,60,54
1609179568,70,50
1609183176,65,42
1609186786,87,53
1609190377,88,53
1609193983,60,60
1609197580,66,48
1609201281,72,64
1609204788,67,31
1609208380,71,58
1609211988,85,45
1609215579,64,45
1609219179,61,44
1609222780,61,33
1609226384,41,41
1609229980,52,152
1609233579,60,184
1609237170,77,150
1609240767,84,109
1609244367,55,98
1609247967,39,124
1609251563,56,125
1609255168,61,123
1609258753,54,141
1609262350,48,104
1609265946,59,55
1609269546,50,58
1609273148,68,48
1609276748,71,61
1609280346,47,49
1609283955,51,38
1609287642,42,38
1609291153,71,52
1609294755,73,68
1609298362,49,47
1609301948,46,30
1609305554,58,32
1609309158,50,32
1609312746,72,40
1609316352,49,40
1609319944,43,63
1609323551,38,46
1609327155,52,31
1609330756,51,48
1609334362,36,53
1609337957,47,52
1609341561,46,46
1609345166,39,31
1609348757,64,54
1609352357,38,71
1609355971,50,44
1609359559,74,43
1609363153,72,44
1609366753,55,43
1609370366,58,28
1609377561,78,83
1609381159,60,72
1609384761,36,52
1609388352,55,52
1609391949,51,55
1609395553,54,44
1609399158,61,35
1609402756,56,51
1609406365,63,43
1609409957,62,49
1609413560,50,57
1609417155,56,36
1609420760,56,59
1609424369,46,37
1609427964,43,34
1609431574,50,41
1609435175,36,33
1609438765,36,43
1609442363,41,35
1609445965,54,70
1609449569,42,43
1609453169,68,39
1609456763,62,34
1609460456,47,53
1609463975,46,41
1609467570,66,56
1609471185,42,56
1609474768,40,44
1609478367,40,51
1609481969,64,49
1609485568,44,43
1609489174,116,37
1609492772,50,36
1609496371,43,40
1609499978,37,49
1609503568,46,46
1609507178,52,29
1609510784,47,54
1609514374,44,47
1609517966,43,27
1609521583,30,31
1609525174,45,38
1609528768,55,40
1609532388,44,28
1609535979,33,33
1609539570,31,37
1609543178,35,47
1609546871,50,38
1609550369,47,42
1609553979,63,67
1609557579,30,30
1609561175,36,38
1609564768,49,23
1609568378,49,26
1609571974,32,44
1609575574,68,42
1609579178,53,55
1609582775,44,45
1609586376,50,56
1609589966,46,73
1609593569,46,38
1609597175,47,45
1609600779,64,31
1609604383,52,37
1609607976,43,39
1609611575,40,40
1609615194,43,37
1609618773,49,32
1609622380,42,57
1609625971,47,56
1609629574,48,39
1609633263,39,44
1609636784,152,47
1609640381,104,68
1609643981,91,35
1609647573,36,45
1609651183,50,34
1609654775,38,34
1609658374,29,62
1609661972,23,50
1609665572,30,59
1609669183,35,54
1609672772,40,52
1609676372,36,57
1609679968,27,74
1609683562,29,75
1609687171,34,39
1609690773,198,62
1609694371,108,83
1609697976,82,63
1609701574,126,67
1609705186,88,64
1609708781,89,74
1609712383,74,81
1609715989,80,82
1609719686,82,78
1609723186,66,80
