DateTime,AddedIPs,RemovedIPs
1609165025,65,32
1609168634,73,35
1609172233,67,44
1609175836,51,43
1609179428,63,29
1609183034,51,25
1609186639,72,39
1609190238,77,44
1609193837,58,44
1609197434,54,41
1609201134,59,55
1609204642,59,24
1609208238,57,29
1609211845,48,32
1609215435,52,37
1609219039,48,38
1609222643,59,22
1609226241,39,34
1609229833,44,134
1609233434,52,164
1609237032,74,124
1609240629,77,92
1609244230,45,83
1609247827,33,105
1609251425,45,104
1609255024,49,102
1609258619,54,107
1609262214,44,87
1609265806,48,44
1609269406,39,46
1609273009,45,30
1609276606,48,48
1609280203,44,40
1609283814,41,30
1609287507,37,30
1609291016,61,32
1609294618,41,37
1609298220,45,47
1609301812,36,24
1609305420,46,26
1609309010,40,28
1609312615,64,30
1609316217,42,26
1609319811,34,43
1609323418,30,33
1609327018,41,25
1609330614,40,35
1609334228,34,42
1609337815,36,43
1609341423,29,43
1609345025,32,26
1609348625,50,46
1609352225,31,44
1609355826,45,30
1609359425,50,25
1609363024,50,30
1609366618,37,25
1609370225,40,21
1609373917,27,35
1609377423,32,29
1609381024,34,35
1609384629,28,41
1609388214,41,40
1609391823,34,46
1609395412,40,39
1609399019,44,23
1609402617,47,45
1609406218,52,35
1609409818,53,45
1609413420,35,38
1609417028,47,27
1609420625,47,50
1609424232,39,27
1609427829,29,27
1609431428,35,33
1609435033,26,28
1609438637,25,30
1609442234,31,22
1609445832,48,34
1609449430,33,31
1609453038,49,28
1609456627,36,34
1609460320,45,33
1609463835,27,31
1609467431,32,34
1609471044,33,43
1609474625,34,35
1609478238,33,37
1609481838,37,38
1609485425,27,36
1609489032,88,28
1609492628,26,22
1609496232,24,25
1609499835,29,29
1609503424,38,40
1609507024,39,25
1609510632,40,29
1609514232,31,35
1609517829,27,21
1609521436,19,27
1609525030,29,28
1609528627,40,30
1609532239,28,18
1609535836,30,23
1609539428,23,34
1609543030,24,33
1609546725,40,28
1609550229,36,29
1609553829,26,31
1609557435,23,28
1609561031,26,34
1609564627,44,19
1609568230,35,19
1609571824,29,28
1609575426,39,30
1609579033,31,45
1609582629,19,36
1609586234,38,43
1609589825,30,39
1609593425,29,29
1609597023,30,34
1609600634,28,24
1609604236,45,33
1609607825,39,32
1609611432,30,29
1609615036,28,26
1609618632,30,23
1609622246,26,43
1609625825,39,50
1609629426,37,28
1609633121,24,35
1609636635,97,42
1609640223,78,46
1609643834,53,28
1609647430,32,31
1609651026,39,18
1609654623,29,27
1609658222,27,45
1609661827,21,37
1609665423,22,49
1609669025,24,52
1609672624,30,49
1609676217,30,48
1609679825,19,59
1609683420,22,51
1609687023,20,33
1609690622,159,43
1609694220,94,70
1609697826,77,53
1609701433,118,67
1609705028,84,54
1609708631,77,67
1609712233,72,71
1609715835,73,68
1609719532,70,71
1609723037,59,76
1609726644,56,72
1609730237,54,93
1609733837,67,54
1609737433,63,62
1609741033,46,70
1609744629,47,70
1609748235,65,69
1609751839,52,56
1609755448,52,58
1609759036,59,71
1609762641,45,47
1609766235,36,52
1609769834,34,55
1609773431,47,53
1609777041,38,49
1609780648,40,44
1609784241,47,54
1609787841,36,44
1609791446,39,54
1609795037,45,50
1609798650,39,50
1609802228,63,45
1609805937,35,51
1609809442,47,47
1609813028,39,49
1609816635,35,51
1609820238,43,53
1609823846,39,46
1609827417,51,66
1609831026,33,34
1609834631,45,43
1609838235,65,45
1609841828,43,58
1609845424,52,85
1609849030,35,40
1609852634,29,40
1609856228,28,42
1609859837,37,44
1609863434,33,64
1609867042,50,50
1609870635,54,31
1609874242,39,42
1609877841,44,39
1609881434,41,41
1609885040,62,37
1609888633,44,33
1609892331,68,33
1609895832,56,51
1609899431,47,62
1609903033,49,45
1609906624,45,48
1609910231,48,32
1609913827,32,54
1609917424,38,48
1609921026,51,55
1609924629,41,38
1609928227,50,51
1609931827,43,35
1609935432,44,43
1609939030,26,48
1609942640,39,42
1609946243,40,34
1609949838,36,45
1609953427,38,42
1609957037,47,35
1609960635,46,35
1609964247,47,42
1609967827,33,45
1609971430,38,34
1609975028,40,40
1609978723,80,36
1609982231,80,23
1609985835,83,37
1609989436,41,46
1609993034,58,40
1609996631,38,38
1610000242,61,43
1610003838,34,49
1610007447,51,51
1610011037,43,67
1610014636,40,60
1610018248,33,31
