DateTime,AddedIPs,RemovedIPs
1609149800,0,8
1609153401,8,6
1609156916,0,10
1609160518,4,2
1609164117,1,1
1609167719,0,2
1609171318,1,4
1609174917,2,1
1609178517,5,1
1609182117,6,4
1609185717,2,1
1609189319,3,2
1609192919,4,7
1609196517,5,32
1609200119,1,4
1609203716,4,3
1609207315,1,3
1609210918,1,4
1609214517,0,2
1609218116,0,5
1609221715,1,4
1609225315,9,3
1609228916,4,4
1609232517,5,6
1609236117,6,1
1609239716,6,4
1609243318,4,5
1609246917,4,9
1609250518,3,3
1609254117,3,4
1609257715,5,6
1609261315,1,9
1609265003,4,4
1609268603,1,1
1609272204,3,6
1609275805,10,7
1609279403,4,0
1609283003,9,9
1609286607,11,5
1609290205,6,1
1609293804,5,9
1609297405,5,5
1609301004,24,15
1609304608,40,6
1609308210,77,5
1609311814,50,9
1609315417,47,2
1609319019,44,4
1609322620,33,6
1609326223,48,2
1609329823,28,2
1609333426,22,3
1609337028,15,4
1609340626,22,2
1609344227,27,3
1609347829,18,1
1609351431,17,2
1609355034,28,8
1609358634,31,2
1609362232,15,1
1609365835,18,5
1609369436,12,1
1609373034,11,0
1609376635,12,1
1609380237,17,0
1609383839,16,1
1609387438,11,2
1609391039,16,3
1609394641,12,0
1609398243,23,3
1609401842,20,5
1609405444,11,0
1609409043,21,6
1609412644,13,2
1609416244,19,1
1609419845,17,4
1609423356,19,3
1609426955,25,4
1609430558,16,1
1609434158,15,2
1609437761,30,1
1609441361,14,0
1609444960,5,0
1609448562,14,0
1609452161,13,1
1609455763,14,0
1609459363,21,2
1609462966,19,2
1609466568,13,1
1609470165,20,1
1609473768,19,1
1609477367,14,0
1609480972,12,1
1609484569,25,1
1609488174,27,1
1609491772,18,1
1609495376,22,2
1609498975,14,0
1609502573,18,0
1609506179,12,4
1609509777,17,2
1609513375,17,0
1609516977,21,6
1609520577,13,0
1609524179,13,0
1609527778,18,0
1609531383,16,0
1609534981,18,2
1609538582,12,0
1609542181,17,0
1609545784,8,2
1609549385,14,2
1609552985,19,2
1609556585,10,0
1609560186,24,0
1609563789,55,1
1609567390,35,1
1609570991,29,3
1609574593,16,1
1609578193,27,1
1609581795,12,2
1609585396,12,1
1609588995,12,0
1609592694,14,1
1609596295,11,0
1609599894,6,5
1609603499,19,0
1609607097,9,2
1609610695,12,0
1609614298,14,1
1609617898,20,4
1609621501,20,5
1609625099,8,2
1609628702,7,7
1609632300,5,6
1609635899,11,0
1609639501,4,1
1609643101,5,1
1609646701,11,3
1609650303,13,1
1609653903,8,0
1609657505,10,3
1609661105,9,0
1609664703,10,0
1609668306,10,3
1609671904,9,2
1609675509,8,1
1609679109,22,1
1609682707,14,1
1609686308,10,2
1609689909,9,0
1609693511,18,1
1609697111,11,0
1609700709,7,0
1609704309,2,1
1609707912,9,0
1609711510,9,4
1609715013,5,2
1609718610,5,2
1609722212,5,3
1609725814,5,1
1609729412,5,0
1609733012,9,0
1609736611,6,0
1609740211,4,2
1609743813,10,3
1609747415,7,0
1609751015,6,0
1609754612,3,1
1609758214,6,10
1609761818,5,2
1609765417,5,1
1609769016,7,0
1609772615,7,0
1609776217,5,1
1609779824,4,0
1609783419,12,1
1609787019,4,6
1609790626,3,4
1609794220,11,2
1609797815,4,3
1609801418,3,5
1609805017,4,1
1609808619,8,2
1609812217,4,1
1609815820,4,1
1609819419,5,0
1609823022,3,0
1609826620,6,2
1609830220,7,3
1609833816,4,1
1609837418,2,2
1609841020,2,4
1609844618,1,3
1609848221,0,1
1609851820,0,4
1609855417,2,2
1609859020,1,1
1609862626,1,4
1609866220,1,0
1609869821,1,2
1609873418,0,1
1609877021,0,1
1609880617,3,0
1609884222,0,1
1609887818,1,1
1609891424,4,2
1609895021,0,3
1609898621,0,2
1609902216,3,2
1609905818,1,11
1609909419,1,21
1609913014,2,33
1609916612,0,28
1609920213,2,24
1609923812,5,31
1609927411,1,17
1609931009,11,27
1609934608,3,13
1609938211,2,18
1609941808,1,11
1609945409,7,13
1609949007,4,12
1609952609,2,10
1609956205,1,10
1609959808,10,18
1609963405,2,21
1609967008,1,9
1609970605,2,14
1609974204,0,6
1609977805,1,7
1609981403,1,8
1609985001,1,11
1609988601,1,15
1609992202,1,5
1609995800,0,11
1609999403,3,13
1610003000,3,14
1610006598,3,18
1610010200,2,9
1610013798,3,12
1610017398,0,8
1610021004,1,16
1610024600,0,14
1610028197,0,16
1610031796,1,23
1610035397,2,13
1610038994,4,7
1610042594,0,27
1610046195,4,9
1610049795,0,6
1610053391,2,11
1610056991,3,10
1610060592,0,13
1610064191,0,16
1610067792,2,15
1610071392,1,15
1610074989,2,21
1610078588,1,19
1610082188,3,11
1610085785,0,14
1610089386,2,22
1610092984,3,24
1610096582,2,20
1610100184,3,21
1610103781,3,18
1610107382,8,18
1610110980,3,12
1610114582,2,20
1610118179,2,18
1610121778,2,21
1610125378,2,17
1610128977,3,14
1610132578,0,18
1610136179,2,11
1610139774,0,19
1610143375,2,12
1610146975,2,14
1610150574,3,13
1610154175,0,17
1610157774,0,26
1610161372,1,14
1610164969,0,39
1610168567,1,57
1610172163,1,43
1610175762,1,38
1610179363,2,16
1610182961,1,29
1610186562,2,16
1610190161,1,24
1610193759,1,14
1610197357,3,27
1610200956,0,12
1610204557,3,7
1610208154,13,18
1610211756,2,6
1610215354,3,13
1610218954,1,17
1610222554,5,25
1610226154,7,13
1610229753,4,10
1610233353,2,6
1610236961,199,5
1610240575,237,10
1610244182,199,6
1610247795,226,4
1610251404,196,11
1610255013,198,10
1610258620,188,4
1610262228,150,7
1610265832,118,12
1610269440,121,9
1610273047,134,9
1610276650,97,16
1610280256,104,6
1610283857,113,19
1610287462,95,11
1610291070,73,9
1610294672,84,12
1610298272,70,12
1610301877,58,7
1610305479,64,5
1610309081,62,2
1610312688,83,5
1610316289,63,4
1610319892,75,6
1610323500,84,4
1610327101,97,5
1610330703,48,8
1610334306,50,5
1610337906,62,7
1610341511,62,6
1610345115,65,3
1610348718,68,8
1610352318,51,7
1610355921,55,2
1610359522,47,3
1610363125,47,5
1610366731,47,3
1610370332,48,6
1610373935,30,5
1610377531,13,6
1610381134,9,0
1610384735,7,5
1610388336,12,6
1610391939,10,4
1610395534,8,1
1610399137,19,5
1610402734,24,4
1610406335,15,6
1610410040,14,5
1610413538,18,4
1610417141,27,2
1610420739,21,4
1610424340,22,4
1610427941,16,2
1610431541,22,6
1610435143,19,6
1610438741,18,6
1610442347,10,3
1610445947,13,2
1610449545,20,3
1610453147,20,1
1610456753,19,2
1610460353,17,2
1610463952,6,1
1610467548,13,3
1610471150,14,2
1610474754,11,4
1610478360,9,2
1610481949,9,3
1610485553,8,2
1610489153,6,1
1610492757,6,2
1610496450,13,4
1610499952,9,0
1610503553,8,0
1610507152,11,0
1610510754,14,1
1610514355,7,1
1610517954,11,0
1610521557,7,2
1610525156,9,2
1610528755,15,4
1610532356,10,1
1610535959,11,5
1610539557,5,1
1610543156,12,1
1610546759,13,3
1610550355,1,7
1610553958,1,2
1610557558,1,3
1610561158,3,2
1610564755,3,2
1610568359,2,11
1610571957,2,2
1610575556,1,0
1610579155,1,1
1610582858,0,1
1610586360,1,1
1610589958,1,0
