DateTime,AddedIPs,RemovedIPs
1606320004,256,256
1606324536,256,256
1606325435,256,256
1606326952,256,256
1606329039,256,256
1606330470,256,256
1606332639,256,256
1606333539,256,256
1606336241,256,256
1606343444,256,256
1606402000,1024,1024
1606402829,256,256
1606403730,256,256
1606404631,256,256
1606408233,256,256
1606435288,256,256
1606485316,1792,1792
1606492804,256,256
1606507273,256,256
1606519842,256,256
1606521765,256,256
1606523445,256,256
1606527046,256,256
1606528849,256,256
1606578839,1024,1024
1606581032,256,256
1606584633,256,256
1606588234,256,256
1606589589,256,256
1606595435,256,256
1606602640,256,256
1606609844,512,512
1606615244,512,512
1606618803,256,256
1606620643,256,256
1606661215,1280,1280
1606671031,256,256
1606675764,256,256
1606696243,256,256
1606701047,256,256
1606747529,1280,1280
1606753831,256,256
1606774313,256,256
1606775438,256,256
1606784443,256,256
1606786243,256,256
1606787442,256,256
1606793444,256,256
1606798844,256,256
1606831042,2048,2048
1606845604,256,256
1606849236,256,256
1606861843,256,256
1606865446,256,256
1606873853,256,256
1606917448,768,768
1606919431,256,256
1606921233,256,256
1606924804,256,256
1606928436,256,256
1606935639,256,256
1606939320,256,256
1606941042,256,256
1606942843,256,256
1606946505,256,256
1606954310,256,256
1606955449,256,256
1606957249,256,256
1606959050,256,256
1607003884,1024,1024
1607026249,256,256
1607029241,256,256
1607031042,256,256
1607034643,256,256
1607038245,256,256
1607046728,256,256
1607050848,256,256
1607097603,768,768
1607099432,256,256
1607101233,256,256
1607110237,256,256
1607142647,256,256
1607176804,768,768
1607182232,256,256
1607187636,256,256
1607189437,256,256
1607193037,256,256
1607194837,256,256
1607196639,256,256
1607198693,256,256
1607200580,256,256
1607203841,256,256
1607211046,256,256
1607213835,256,256
1607263203,1792,1792
1607265032,256,256
1607266833,256,256
1607272234,256,256
1607274035,256,256
1607278146,256,256
1607279437,256,256
1607281238,256,256
1607293811,256,256
1607349603,1280,1280
1607356804,256,256
1607358835,256,256
1607360437,512,512
1607364074,256,256
1607367639,256,256
1607372708,256,256
1607374843,256,256
1607380245,256,256
1607428804,1792,1792
1607430129,256,256
1607443298,256,256
1607444137,256,256
1607445039,512,512
1607445939,256,256
1607446841,512,512
1607448642,256,256
1607450675,256,256
1607454044,256,256
1607455845,256,256
1607457867,256,256
1607461247,256,256
1607463048,256,256
1607473630,256,256
1607536805,1280,1280
1607540436,256,256
1607549442,256,256
1607551244,256,256
1607553003,512,512
1607554843,256,256
1607556644,512,512
1607560237,256,256
1607608803,1536,1536
1607612432,256,256
1607613332,256,256
1607614233,256,256
1607619634,512,512
1607628638,1280,1280
1607630605,512,512
1607632241,512,512
1607634040,256,256
1607637777,256,256
1607639443,256,256
1607643045,256,256
1607688076,1536,1536
1607691633,256,256
1607693433,256,256
1607695203,256,256
1607697934,256,256
1607698836,256,256
1607700637,256,256
1607704478,256,256
1607706038,256,256
1607707840,256,256
1607709710,256,256
