DateTime,AddedIPs,RemovedIPs
1610164394,22,16
1610166007,19,46
1610166275,17,14
1610167501,95,0
1610168234,15,16
1610169848,1,0
1610170117,17,19
1610171102,142,0
1610172972,24,24
1610174901,160,0
1610177787,17,37
1610179744,26,21
1610181655,11,19
1610181902,275,0
1610183553,23,22
1610185503,24,20
1610187388,167,28
1610189305,23,33
1610193145,331,30
1610195068,13,23
1610197026,27,22
1610198908,23,19
1610199902,273,0
1610200887,17,19
1610204696,21,48
1610206619,5,28
1610207102,267,0
1610208522,25,15
1610210443,16,22
1610213348,19,22
1610215284,142,19
1610218143,13,20
1610218803,302,0
1610221047,7,14
1610222402,108,0
1610222912,10,19
1610224860,9,11
1610226002,148,0
1610226816,13,13
1610228668,10,15
1610229602,123,0
1610230576,7,6
1610232533,9,7
1610233202,118,0
1610234441,12,14
1610235369,5,0
1610236349,5,16
1610238335,14,0
1610240223,21,11
1610240402,187,3807
1610242105,12,12
1610244085,11,19
1610245946,11,19
1610246885,0,1
1610247872,10,20
1610249833,246,12
1610250729,25,0
1610251726,17,14
1610253416,735,827
1610254867,13,34
1610256756,231,15
1610258406,1,3
1610258677,11,0
1610260616,19,29
1610262495,134,25
1610264423,155,14
1610266371,15,35
1610268273,27,12
1610269202,197,0
1610270181,18,29
1610272134,27,29
1610275015,17,27
1610276900,168,32
1610278818,140,0
1610280773,27,20
1610282702,16,23
1610283602,194,0
1610284642,22,25
1610286524,23,23
1610288426,25,16
1610290379,17,0
1610290802,235,0
1610292296,19,18
1610294201,24,6
1610296151,25,21
1610298033,16,13
1610299957,234,14
1610303793,8,22
1610305762,142,10
1610307638,7,7
1610309541,16,14
1610309703,234,0
1610311505,5,11
1610313389,11,11
1610317297,144,14
1610319147,180,8
1610320088,3,5
1610321060,16,12
1610323021,18,6
1610324930,122,14
1610326830,13,18
1610327701,207,3195
1610328787,12,13
1610330669,6,13
1610332580,15,13
1610334536,11,9
1610337419,112,7
1610339290,219,45
1610342219,14,30
1610344088,16,9
1610345334,801,770
1610346055,258,14
1610346602,140,0
1610347931,15,17
1610349870,18,15
1610350202,132,0
1610351811,24,12
1610353698,18,17
1610355678,21,22
1610357402,291,0
1610358509,23,19
1610361396,25,25
1610363310,24,36
1610364602,256,0
1610365235,15,16
1610367165,23,0
1610369048,24,23
1610371248,19,32
1610371802,336,0
1610373159,21,23
1610375103,20,23
1610376987,19,20
1610379170,16,17
1610381074,352,23
1610383033,17,24
1610384922,20,14
1610387800,139,10
1610389696,21,0
1610389803,290,0
1610391668,12,4
1610394543,14,20
1610396420,20,15
1610397902,347,0
1610399330,12,4
1610401218,12,10
1610401503,112,0
1610404116,10,6
1610406068,16,14
1610408013,13,13
1610408409,2,4
1610408702,205,0
1610409908,7,17
1610411821,14,11
1610412302,120,2866
1610413720,21,16
1610415638,15,7
1610415902,120,0
1610417583,15,13
1610419472,20,11
1610419927,0,1
1610421380,12,14
1610423350,8,0
1610423767,304,0
1610426223,15,20
1610428112,11,0
1610430271,23,14
1610430303,291,0
1610431447,0,1
1610432177,20,9
1610434149,17,14
1610436732,872,785
1610437252,20,31
1610439154,160,19
1610441073,23,21
1610441102,253,0
1610443039,26,19
1610444913,26,23
1610447781,20,0
1610449202,335,0
1610449735,12,40
1610451631,26,0
1610452802,119,0
1610453573,30,32
1610455739,25,20
1610456401,159,0
1610457630,20,0
1610459567,28,31
1610461499,21,0
1610463381,22,14
1610463602,269,0
1610465315,18,20
