DateTime,AddedIPs,RemovedIPs
1610557323,57,45
1610558523,6,0
1610559124,47,41
1610559723,7,0
1610560924,47,57
1610561524,4,0
1610562124,2,0
1610563324,9,0
1610565124,1,0
1610565723,1,0
1610566278,52,42
1610566923,2,0
1610568124,48,62
1610568724,1,0
1610569324,1,0
1610570524,4,0
1610571123,3,0
1610571724,3,0
1610572324,2,0
1610572924,3,0
1610573524,49,48
1610574124,4,0
1610574724,1,0
1610575324,5,0
1610576524,4,0
1610577074,45,41
1610577724,9,0
1610578460,1,0
1610578924,10,0
1610579523,3,0
1610580124,5,0
1610580724,39,54
1610581324,3,0
1610582524,2,0
1610583124,3,0
1610583724,2,0
1610584275,77,35
1610584381,3,0
1610584924,4,1
1610586124,74,39
1610586724,7,1
1610587324,5,0
1610587925,1,0
1610588524,5,0
1610589724,10,0
1610590324,1,0
1610590924,2,0
1610591478,41,44
1610592124,3,0
1610592724,5,0
1610593323,52,75
1610593924,2,0
1610594524,3,0
1610595125,4,0
1610595724,5,0
1610596924,76,52
1610597524,3,0
1610598124,5,0
1610598673,90,134
1610599323,8,0
1610600524,4,0
1610601124,2,1
1610601724,4,0
1610602303,79,67
1610602923,7,0
1610604124,5,1
1610605324,10,0
1610605981,63,54
1610606524,4,0
1610607724,6,0
1610608324,3,0
1610608924,4,0
1610609466,36,55
1610610125,1,0
1610611325,4,0
1610611924,5,0
1610612524,1,0
1610613124,60,39
1610614924,3,0
1610616124,2,0
1610617324,8,0
1610618524,43,49
1610619124,1,0
1610619724,3,0
1610620324,47,39
1610620924,1,0
1610621524,3,0
1610622124,5,0
1610622724,8,0
1610623324,1,1
1610624524,2,0
1610625124,3,0
1610625683,37,46
1610626323,5,1
1610627492,40,29
1610627581,2,0
1610628123,2,0
1610628428,2,0
1610629924,2,0
1610631069,36,45
1610631181,1,0
1610632324,3,0
1610633523,1,0
1610634670,42,51
1610634781,0,1
1610635324,5,0
1610635924,3,0
1610637124,3,0
1610638381,5,0
1610639524,1,0
1610640124,46,41
1610640724,2,0
1610641324,4,1
1610641873,37,35
1610643124,1,0
1610644924,3,1
1610645581,41,47
1610646124,2,0
1610647324,4,0
1610649087,48,39
1610649181,2,0
1610649724,3,0
1610650324,3,0
1610650923,5,1
1610653324,4,1
1610654523,36,34
1610656026,1,1
1610656381,38,34
1610656924,1,0
1610657524,2,0
1610658124,134,121
1610658724,2,0
1610659324,6,0
1610660524,0,1
1610660838,2,0
1610661124,2,0
1610661724,117,147
1610662924,6,0
1610663482,52,31
1610664124,3,0
1610665323,2,0
1610666524,3,0
1610667091,35,44
1610667724,7,0
1610668324,4,0
1610668924,6,0
1610669524,4,0
1610670124,1,0
1610670725,59,40
1610671324,1,0
1610672524,6,0
1610673124,1,0
1610673724,1,0
1610674924,1,0
1610676124,78,46
1610677981,3,0
1610678524,3,0
1610679724,74,83
1610680324,3,0
1610682123,5,0
1610682724,2,0
1610683324,1,0
1610684524,1,0
1610685724,3,0
1610686950,82,79
1610688124,2,0
1610688781,60,70
1610689324,4,0
