DateTime,AddedIPs,RemovedIPs
1610483648,270,237
1610484534,12,8
1610486425,20,19
1610487071,183,293
1610487246,129,302
1610488349,21,14
1610489218,170,273
1610490334,24,15
1610490844,135,183
1610492211,7,8
1610493536,182,198
1610494150,11,9
1610494447,105,214
1610496179,245,0
1610496984,102,99
1610497454,340,150
1610498204,17,13
1610498787,86,199
1610500088,17,9
1610502010,255,344
1610503288,77,55
1610503960,9,13
1610504704,160,135
1610505847,12,7
1610506205,98,269
1610507763,18,11
1610508845,192,332
1610509719,15,8
1610510871,160,217
1610511602,11,10
1610512444,107,197
1610513523,11,15
1610514319,131,182
1610515497,7,9
1610516044,129,217
1610517375,16,18
1610517689,95,72
1610519315,6,13
1610519647,148,477
1610521249,17,14
1610522187,179,306
1610523125,13,16
1610523244,100,236
1610525047,8,20
1610525785,123,80
1610527011,210,490
1610528890,144,115
1610530287,112,168
1610530808,19,13
1610530929,127,300
1610532784,6,17
1610532986,116,197
1610534044,202,245
1610534657,8,8
1610535688,143,77
1610536574,8,470
1610537647,209,386
1610538537,6,14
1610539268,598,102
1610540427,236,0
1610541055,353,190
1610541489,258,260
1610542356,6,5
1610544272,9,13
1610544303,502,266
1610546236,249,297
1610546466,0,1014
1610547360,241,406
1610548084,9,17
1610548444,164,210
1610550258,10,10
1610550644,163,252
1610550903,0,256
1610552206,7,13
1610552768,111,192
1610554087,9,12
1610554584,190,233
1610556005,11,9
1610556376,93,184
1610557277,127,99
1610557964,37,12
1610558067,109,297
1610558347,254,0
1610559843,20,5
1610559983,83,545
1610560885,102,76
1610561802,11,6
1610562686,113,174
1610562843,93,237
1610563683,14,11
1610564489,128,210
1610565645,14,12
1610567524,150,15
1610568097,143,285
1610569450,132,741
1610570044,100,196
1610571364,6,12
1610571695,108,56
1610573324,261,262
1610573497,144,122
1610574604,137,211
1610575213,10,13
1610576434,123,141
1610577128,8,6
1610577244,97,198
1610579293,126,194
1610580705,94,264
1610581215,14,10
1610581604,97,170
1610583174,373,175
1610584640,147,451
1610585054,5,8
1610586967,9,12
1610587900,196,201
1610588044,81,187
1610588930,7,5
1610590805,9,17
1610591508,167,170
1610591645,79,161
1610592775,12,9
1610594646,13,8
1610595247,264,396
1610596571,10,18
1610597332,114,181
1610598531,10,10
1610600482,175,260
1610601426,0,29293
1610602326,64,60
1610602444,29233,0
1610604294,7,6
1610605012,138,178
1610606176,100,166
1610608096,11,11
1610608987,206,192
1610610058,6,15
1610611928,10,12
1610613110,204,364
1610613883,9,9
1610614014,145,169
1610615067,178,195
1610615768,15,14
1610616843,146,191
1610617688,16,14
1610618741,117,183
1610619888,6,7
1610620310,142,11
1610621770,161,265
1610623049,130,126
1610623692,13,494
1610624048,60,243
1610624811,0,512
1610625655,247,0
1610625729,96,52
1610626611,0,252
1610626960,139,140
1610627529,13,11
1610627643,49,315
1610629484,15,12
1610630211,91,325
1610631371,119,148
1610632012,89,186
1610633293,6,10
1610633811,204,186
1610635249,8,12
1610635807,173,226
1610636459,766,0
1610637128,14,14
1610637359,95,127
1610639054,154,217
1610641002,5,13
1610641416,172,114
1610642043,45,152
1610642888,9,11
1610644803,8,6
1610645468,144,147
1610646764,11,9
1610647277,164,287
1610648926,104,308
1610649971,88,257
1610650811,15,15
1610651137,94,255
1610652728,6,11
1610652844,83,241
1610654715,10,8
1610656613,752,360
1610658538,171,74
1610659880,120,90
1610660447,11,16
1610661683,79,178
1610662349,10,8
1610662582,154,97
1610664306,100,165
1610666187,11,6
1610666357,256,0
1610667247,212,287
1610668116,9,3
1610669487,115,166
1610670013,239,0
1610670844,70,128
1610671926,20,12
1610673908,153,145
1610674444,69,179
1610675790,16,10
1610676574,133,156
1610677724,8,11
1610678045,66,135
1610679606,7,11
1610680592,144,156
1610681531,4,12
1610681655,54,128
1610683486,8,10
1610684191,134,132
1610684798,131,0
1610685373,13,9
1610686203,87,182
1610687290,5,8
1610689216,168,237
1610691179,12,12
1610691903,183,146
1610693058,42,172
1610694083,104,80
1610694977,8,15
1610695507,141,137
1610697013,12,12
1610697726,79,195
1610699082,84,120
1610699644,62,172
1610700964,9,13
1610702481,174,181
1610703124,13,16
1610703244,58,189
1610705047,12,7
1610705792,61,55
1610706258,132,143
1610707005,11,9
1610707591,33,172
1610708891,169,681
1610710445,135,190
1610710807,12,14
1610712728,238,0
1610713503,265,317
1610714045,47,388
1610714647,8,12
1610715653,759,0
1610716598,6,13
1610717644,253,733
1610718484,10,11
1610719256,76,59
1610720402,10,7
1610721270,159,294
1610722360,6,6
1610722858,77,420
1610724244,6,13
1610724844,149,186
1610726163,16,10
1610728124,259,261
1610728445,38,204
1610730015,13,8
1610730999,224,195
1610731926,6,13
1610732044,52,190
1610733883,5,6
1610734221,151,221
1610735768,11,11
1610736369,84,201
1610736604,78,77
1610737686,8,15
1610737895,95,150
1610739644,9,9
1610739973,103,214
1610741527,17,11
1610741757,182,228
1610742682,0,254
1610743445,20,9
1610743582,73,278
1610744373,84,119
1610745401,7,15
1610746290,107,13
1610746736,71,213
1610747281,11,13
1610749238,74,91
1610749506,131,144
1610750043,36,161
1610751126,6,10
1610751551,92,166
1610753042,8,7
1610753498,111,11
1610753644,37,184
1610755004,7,11
1610756198,77,61
1610756888,377,99
1610757244,17,171
1610758814,7,17
1610759948,163,172
1610760761,11,12
1610760843,61,419
1610762647,8,9
1610763402,85,167
1610763904,105,0
1610764568,10,13
1610765404,79,207
1610766524,10,5
1610768410,150,106
1610769005,82,188
1610770322,6,8
1610771504,63,114
1610772285,78,179
1610774162,6,4
1610774553,182,158
1610775245,35,139
1610776084,6,15
1610778039,8,8
1610778844,220,272
1610779922,14,13
1610781843,9,16
1610782304,197,153
1610783799,5,9
1610784004,74,231
1610784428,67,131
1610785690,86,11
1610786044,27,162
1610787613,6,16
1610789562,6,14
1610789645,365,355
1610791448,5,14
1610791510,76,59
1610792202,91,130
1610793615,12,13
1610794005,82,148
1610795525,4,478
1610796844,261,336
1610797482,18,8
1610798643,127,173
1610799375,265,0
1610799905,77,1
1610801542,14,28
1610802221,159,335
1610803504,9,1036
1610804045,89,174
1610805386,5,13
1610805675,601,156
1610807339,12,14
1610807645,134,178
1610809375,11,8
1610810158,88,54
1610810705,137,97
1610811434,12,11
1610811962,246,0
1610813002,152,324
1610813285,10,9
1610814843,141,162
1610815291,9,11
1610816473,115,149
1610817160,18,14
1610817904,98,10
1610819062,5,7
1610820984,199,250
1610822043,116,106
1610822907,13,9
1610824819,13,12
1610825103,174,152
1610825643,30,134
1610826791,13,13
1610828644,12,260
1610829243,215,402
1610830562,13,7
