DateTime,AddedIPs,RemovedIPs
1610482924,1,0
1610484124,3,0
1610485323,3,0
1610486524,3,1
1610487724,4,0
1610488924,1,0
1610490124,4,0
1610491323,3,0
1610493124,4,0
1610494924,3,0
1610495523,1,0
1610496124,1,0
1610497324,1,0
1610498524,3,0
1610499724,1,0
1610500324,2,0
1610502123,5,0
1610504523,4,0
1610505724,1,0
1610506924,11,2
1610508124,13,0
1610508781,2,1
1610510524,1,0
1610511723,2,0
1610512924,3,0
1610513524,1,0
1610514124,2,0
1610515324,2,0
1610516523,2,0
1610517724,1,1
1610518924,6,0
1610520124,1,0
1610521324,3,0
1610521924,2,0
1610522524,4,0
1610523724,6,0
1610524924,4,0
1610526124,1,0
1610527324,1,1
1610527924,1,0
1610528524,3,1
1610529123,2,0
1610529724,1,0
1610530324,2,0
1610531524,6,0
1610532124,5,0
1610532724,5,0
1610533324,4,0
1610533981,0,1
1610535123,9,1
1610535724,2,0
1610536924,1,0
1610538123,4,0
1610539324,5,0
1610540523,4,0
1610541724,8,0
1610542324,5,0
1610542924,4,0
1610544124,9,0
1610544781,6,0
1610545324,5,0
1610545924,3,1
1610546524,2,0
1610547724,4,0
1610548924,4,0
1610550124,1,0
1610550724,4,0
1610551324,3,0
1610551924,1,0
1610552524,4,0
1610553124,1,0
1610553723,5,0
1610554924,8,0
1610555581,2,0
1610556724,4,0
1610557323,2,0
1610558523,6,0
1610559124,3,0
1610559723,7,0
1610560924,2,0
1610561524,4,0
1610562124,2,0
1610563324,9,0
1610565124,1,0
1610565723,1,0
1610566923,2,0
1610568124,3,0
1610568724,1,0
1610569324,1,0
1610570524,4,0
1610571123,3,0
1610571724,3,0
1610572324,2,0
1610572924,3,0
1610574124,4,0
1610574724,1,0
1610575324,5,0
1610576524,4,0
1610577724,9,0
1610578324,1,0
1610578924,10,0
1610579523,3,0
1610580124,5,0
1610580724,4,0
1610581324,3,0
1610582524,2,0
1610583124,3,0
1610583724,2,0
1610584381,3,0
1610584924,4,1
1610586124,2,0
1610586724,7,1
1610587324,5,0
1610587925,1,0
1610588524,5,0
1610589724,10,0
1610590324,1,0
1610590924,2,0
1610592124,3,0
1610592724,5,0
1610593924,2,0
1610594524,3,0
1610595125,4,0
1610595724,5,0
1610596924,1,0
1610597524,3,0
1610598124,5,0
1610599323,8,0
1610600524,4,0
1610601124,2,1
1610601724,4,0
1610602923,7,0
1610604124,5,1
1610605324,10,0
1610605981,3,0
1610606524,4,0
1610607724,6,0
1610608324,3,0
1610608924,4,0
1610610125,1,0
1610611325,4,0
1610611924,5,0
1610612524,1,0
1610613124,4,0
1610614924,3,0
1610616124,2,0
1610617324,8,0
1610618524,5,1
1610619124,1,0
1610619724,3,0
1610620324,5,0
1610620924,1,0
1610621524,3,0
1610622124,5,0
1610622724,8,0
1610623324,1,1
1610624524,2,0
1610625124,3,0
1610626323,5,1
1610627581,2,0
1610628123,2,0
1610628124,2,0
1610629924,2,0
1610631181,1,0
1610632324,3,0
1610633523,1,0
1610634124,3,0
1610634781,0,1
1610635324,5,0
1610635924,3,0
1610637124,3,0
1610638381,5,0
1610639524,1,0
1610640124,1,0
1610640724,2,0
1610641324,4,1
1610643124,1,0
1610644924,3,1
1610646124,2,0
1610647324,4,0
1610649181,2,0
1610649724,3,0
1610650324,3,0
1610650923,5,1
1610653324,4,1
1610654523,1,1
1610655724,1,1
1610656381,1,0
1610656924,1,0
1610657524,2,0
1610658124,6,0
1610658724,2,0
1610659324,6,0
1610660524,0,1
1610661124,2,0
1610661724,4,0
1610662924,6,0
1610664124,3,0
1610665323,2,0
1610666524,3,0
1610667724,7,0
1610668324,4,0
1610668924,6,0
1610669524,4,0
1610670124,1,0
1610670725,1,0
1610671324,1,0
1610672524,6,0
1610673124,1,0
1610673724,1,0
1610674924,1,0
1610676124,5,0
1610677981,3,0
1610678524,3,0
1610679724,5,0
1610680324,3,0
1610682123,5,0
1610682724,2,0
1610683324,1,0
1610684524,1,0
1610685724,3,0
1610686924,6,0
1610688124,2,0
1610689324,4,0
1610690524,3,0
1610691124,2,0
1610691723,4,0
1610692381,5,0
1610692924,7,1
1610694124,3,0
1610695324,3,0
1610695981,1,0
1610696524,3,0
1610697124,3,0
1610697724,3,0
1610698924,3,0
1610700124,2,0
1610700724,2,0
1610701924,1,0
1610702524,3,0
1610703724,3,0
1610704924,1,0
1610706123,3,0
1610706781,1,0
1610707323,4,0
1610708523,4,0
1610710924,1,0
1610711523,2,1
1610712123,5,0
1610713324,6,0
1610715124,6,0
1610715724,4,0
1610716924,2,0
1610718123,2,0
1610718724,1,0
1610719924,4,0
1610720523,3,0
1610721724,2,0
1610722324,1,0
1610723524,1,0
1610724124,1,0
1610724724,4,0
1610725324,7,0
1610727724,3,0
1610728381,2,0
1610728924,0,1
1610730124,3,0
1610730723,3,0
1610731981,1,0
1610732523,1,0
1610733724,3,0
1610734324,4,0
1610735581,1,0
1610736124,1,0
1610736724,1,0
1610737324,4,0
1610737924,1,0
1610739724,3,0
1610740324,1,0
1610740924,1,1
1610741524,2,0
