DateTime,Entries,UniqueIPs
1609620302,12380,12380
1609623003,11850,11850
1609625703,11231,11231
1609628403,10609,10609
1609631102,10107,10107
1609633803,9809,9809
1609636502,9620,9620
1609639202,9689,9689
1609641903,9321,9321
1609644603,8939,8939
1609647302,8918,8918
1609650003,8676,8676
1609652702,8501,8501
1609655402,8658,8658
1609658102,8251,8251
1609660802,8215,8215
1609663503,8318,8318
1609666202,8494,8494
1609668902,8719,8719
1609671602,8809,8809
1609674303,8773,8773
1609677002,8753,8753
1609679702,8665,8665
1609682402,8420,8420
1609685102,8236,8236
1609687802,8007,8007
1609690502,7828,7828
1609693202,7696,7696
1609695902,7603,7603
1609698602,7434,7434
1609701302,7596,7596
1609704003,7653,7653
1609706703,7509,7509
1609709402,7285,7285
1609712102,6966,6966
1609714802,6983,6983
1609717502,6960,6960
1609720203,6912,6912
1609722902,6938,6938
1609725602,7090,7090
1609728302,6930,6930
1609731002,7007,7007
1609733702,7097,7097
1609736402,7034,7034
1609739102,6816,6816
1609741802,6819,6819
1609744502,6715,6715
1609747202,6500,6500
1609749902,6669,6669
1609752602,6694,6694
1609755302,6983,6983
1609758002,7692,7692
1609760702,8284,8284
1609763402,8419,8419
1609766102,8672,8672
1609768803,9244,9244
1609771502,10374,10374
1609774203,11459,11459
1609776902,12040,12040
1609779602,12520,12520
1609782303,13749,13749
1609785003,14708,14708
1609787703,15654,15654
1609790404,14214,14214
1609793104,12923,12923
1609795804,11112,11112
1609798504,9190,9190
1609801204,7400,7400
1609803904,7126,7126
1609806606,7120,7120
1609809307,6382,6382
1609812006,5880,5880
1609814707,6408,6408
1609817406,7100,7100
1609820105,7764,7764
1609822806,8379,8379
1609825505,8644,8644
1609828205,9001,9001
1609830906,10108,10108
1609833605,11897,11897
1609836304,13666,13666
1609839004,14571,14571
1609841704,15349,15349
1609844404,15711,15711
1609847104,16247,16247
1609849804,16830,16830
1609852503,17179,17179
1609855203,17016,17016
1609857903,17413,17413
1609860604,17896,17896
1609863304,17980,17980
1609866003,17831,17831
1609868703,18697,18697
1609871403,19306,19306
1609874103,18746,18746
1609876803,17940,17940
1609879504,11998,11998
1609882204,12107,12107
1609884904,10582,10582
1609887604,8845,8845
1609890304,7779,7779
1609893006,6368,6368
1609895705,7102,7102
1609898406,7567,7567
1609901107,6809,6809
1609903807,6809,6809
1609906507,6998,6998
1609909206,7349,7349
1609911907,8302,8302
1609914606,9348,9348
1609917306,9270,9270
1609920006,8992,8992
1609922706,9216,9216
1609925407,9202,9202
1609928106,9855,9855
1609930804,10655,10655
1609933506,11042,11042
1609936204,11478,11478
1609938904,12210,12210
1609941605,12688,12688
1609944304,13066,13066
1609947005,13445,13445
1609949704,13520,13520
1609952404,13665,13665
1609955103,13948,13948
1609957803,13822,13822
1609960503,14552,14552
1609963203,15965,15965
1609965903,16776,16776
1609968603,17466,17466
1609971303,17342,17342
1609974002,16881,16881
1609976703,17003,17003
1609979403,17033,17033
1609982103,16621,16621
1609984803,16123,16123
1609987502,16165,16165
1609990202,16314,16314
1609992903,16596,16596
1609995603,16668,16668
1609998302,15624,15624
1610001003,14936,14936
1610003703,13794,13794
1610006402,13185,13185
1610009102,12409,12409
1610011802,11658,11658
1610014502,11931,11931
1610017202,12397,12397
1610019903,12596,12596
1610022603,12799,12799
1610025302,13234,13234
1610028002,14389,14389
1610030702,14702,14702
1610033403,14795,14795
1610036103,14517,14517
1610038803,14240,14240
1610041504,14222,14222
1610044203,14170,14170
1610046903,14554,14554
1610049603,14425,14425
1610052303,14413,14413
1610055002,14349,14349
1610057703,14134,14134
1610060403,13712,13712
1610063103,13581,13581
1610065802,12919,12919
1610068503,12534,12534
1610071203,11935,11935
1610073902,11099,11099
1610076603,11008,11008
1610079302,11022,11022
1610082002,10973,10973
1610084702,10908,10908
1610087401,10771,10771
1610090102,10724,10724
1610092803,10358,10358
1610095502,10307,10307
1610098202,10042,10042
1610100902,10100,10100
1610103602,10019,10019
1610106302,9930,9930
1610109001,10098,10098
1610111702,11676,11676
1610114402,15912,15912
1610117103,17037,17037
1610119803,18651,18651
1610122502,19491,19491
1610125202,20094,20094
1610127903,21258,21258
1610130603,22151,22151
1610133303,23183,23183
1610136003,22385,22385
1610138703,22546,22546
1610141403,22571,22571
1610144102,22706,22706
1610146803,22871,22871
1610149503,22836,22836
1610152203,22607,22607
1610154904,22314,22314
1610157604,19912,19912
1610160303,17410,17410
1610163003,16216,16216
1610165704,15153,15153
1610168404,13891,13891
1610171103,13666,13666
1610173804,12988,12988
1610176503,12388,12388
1610179203,11804,11804
1610181903,11752,11752
1610184603,12204,12204
1610187303,12797,12797
1610190003,12993,12993
1610192703,12975,12975
1610195403,13068,13068
1610198103,13537,13537
1610200804,13636,13636
1610203503,14111,14111
1610206202,13785,13785
1610208903,13422,13422
1610211602,13269,13269
1610214303,13055,13055
1610217002,13010,13010
1610219703,13308,13308
1610222402,12920,12920
