DateTime,AddedIPs,RemovedIPs
1610533324,5,0
1610534524,8,5
1610535123,9,0
1610535724,5,8
1610536924,3,0
1610537524,4,0
1610538123,4,3
1610539324,8,0
1610540523,10,1
1610541724,11,12
1610542324,5,0
1610542924,5,1
1610544124,12,7
1610544724,6,0
1610545324,12,0
1610545924,3,3
1610546524,3,0
1610547724,6,0
1610548924,4,2
1610550124,3,8
1610550724,7,0
1610551324,6,1
1610551924,4,0
1610552524,4,0
1610553124,3,0
1610553723,6,0
1610554924,12,9
1610555524,8,0
1610556724,7,21
1610557323,3,0
1610558523,9,8
1610559124,7,3
1610559723,12,6
1610560924,2,9
1610561524,6,0
1610562124,5,0
1610563324,13,6
1610564523,1,2
1610565124,4,1
1610565723,0,1
1610566923,6,5
1610568124,5,8
1610568724,3,4
1610569324,2,2
1610570524,6,0
1610571123,2,3
1610571724,5,0
1610572324,5,1
1610572924,4,1
1610574124,5,0
1610574724,3,1
1610575324,5,0
1610575923,7,7
1610577124,4,1
1610577724,8,5
1610578924,13,3
1610579523,10,0
1610580124,6,0
1610580724,5,1
1610581324,5,6
1610582524,5,2
1610583124,3,0
1610583724,3,4
1610584324,5,10
1610584924,8,12
1610585524,2,0
1610586124,3,0
1610586724,7,14
1610587324,3,1
1610587925,2,0
1610588524,4,0
1610589724,18,0
1610590324,5,5
1610590924,6,0
1610592124,7,14
1610592724,8,0
1610593924,6,0
1610594524,4,0
1610595125,7,2
1610595724,10,3
1610596324,2,0
1610596924,2,0
1610597524,4,0
1610598124,7,0
1610599323,9,26
1610600524,9,0
1610601124,9,1
1610601724,5,3
1610602923,14,0
1610604124,15,10
1610605324,11,0
1610605924,5,2
1610606524,7,1
1610607724,11,13
1610608324,8,5
1610608924,10,0
1610610125,6,3
1610610724,2,9
1610611325,6,6
1610611924,8,0
1610612524,6,10
1610613124,7,0
1610613724,2,4
1610614924,5,3
1610615523,5,4
1610616725,7,2
1610617324,5,0
1610618524,7,9
1610619124,5,2
1610619724,8,1
1610620324,4,0
1610620924,4,35
1610621524,8,2
1610622124,10,3
1610622724,7,1
1610623924,0,2
1610625124,3,8
1610626323,7,6
1610626924,3,12
