DateTime,AddedIPs,RemovedIPs
1610407324,2,1
1610408524,2,0
1610409724,0,2
1610410924,2,2
1610412124,3,8
1610414523,1,10
1610415724,1,3
1610416324,0,2
1610418123,2,6
1610419323,2,8
1610420524,0,8
1610421124,2,0
1610422924,1,3
1610423524,2,9
1610424124,0,3
1610426524,1,0
1610427724,1,2
1610428923,0,1
1610429524,2,0
1610430723,1,10
1610432523,46,21
1610433723,1,0
1610434923,0,18
1610435524,0,1
1610437324,0,3
1610438523,2,0
1610439724,1,10
1610440924,2,1
1610442124,1,0
1610442723,1,0
1610443323,2,1
1610443924,0,4
1610445123,1,0
1610446323,1,7
1610448124,0,3
1610449924,1,4
1610451123,18,5
1610451723,1,0
1610452923,1,1
1610453524,1,0
1610454723,3,0
1610455324,1,1
1610456524,1,3
1610458923,3,0
1610459524,0,1
1610460123,1,0
1610461323,2,2
1610463124,2,4
1610463724,1,0
1610464924,0,1
1610465524,0,7
1610466124,1,0
1610466724,0,1
1610467324,2,0
1610468524,2,1
1610469123,1,4
1610470324,2,0
1610471524,1,6
1610472124,1,0
1610473323,2,1
1610475724,2,0
1610476324,1,0
1610478724,3,1
1610479324,0,1
1610481124,1,8
1610482324,0,4
1610482924,1,2
1610483524,3,0
1610484724,3,0
1610485323,3,6
1610485924,3,4
1610487124,5,3
1610487724,4,1
1610488324,1,0
1610488924,3,3
1610490124,2,5
1610492524,3,3
1610493124,3,2
1610494324,2,1
1610495523,5,0
1610496123,2,0
1610496724,2,3
1610497924,1,1
1610498524,8,0
1610499724,0,3
1610501524,2,2
1610502724,2,0
1610503924,1,0
1610505124,2,5
1610505724,3,3
1610506924,13,0
1610508124,4,9
1610508724,1,3
1610509324,4,1
1610510524,4,7
1610511723,2,0
1610513524,1,12
1610514124,1,6
1610515324,0,15
1610516523,2,15
1610517123,0,2
1610518924,34,0
1610520124,1,3
1610522524,2,2
1610523125,1,2
1610523723,2,0
1610526124,3,0
1610526724,0,3
1610527924,1,0
1610529123,2,0
1610530324,2,0
1610530923,1,2
1610532124,0,1
1610533324,2,0
1610533924,0,3
