DateTime,AddedIPs,RemovedIPs
1608732902,316,0
1608736502,122,0
1608743702,235,0
1608747303,185,0
1608751802,186,0
1608755402,144,0
1608759002,93,0
1608762602,141,0
1608766202,104,0
1608773402,295,3699
1608777002,224,0
1608780602,167,0
1608784202,200,0
1608787802,197,0
1608791402,212,0
1608795902,266,0
1608799502,297,0
1608803103,215,0
1608806702,197,0
1608813903,360,0
1608817502,172,0
1608821102,167,0
1608824702,133,0
1608828302,177,0
1608831901,137,0
1608839102,273,0
1608842702,108,0
1608847203,155,0
1608850802,90,0
1608854402,90,3547
1608858002,134,0
1608861602,160,0
1608865202,156,0
1608868802,134,0
1608872402,127,0
1608876002,135,0
1608879602,223,0
1608886803,326,0
1608890402,194,0
1608894002,149,0
1608897602,159,0
1608901202,160,0
1608904802,111,0
1608908402,113,0
1608912902,205,0
1608916502,125,0
1608920102,150,0
1608927302,204,0
1608934502,235,0
1608938102,97,0
1608941702,100,4077
1608945302,145,0
1608948902,190,0
1608952503,134,0
1608959702,315,0
1608963302,157,0
1608970502,338,0
1608974102,171,0
1608978602,175,0
1608982202,133,0
1608985803,169,0
1608989402,158,0
1608993002,120,0
1608996602,194,0
1609003802,244,0
1609007402,127,0
1609011002,162,0
1609014601,107,0
1609021802,217,0
1609026302,126,0
1609029902,85,3443
1609033502,171,0
1609037102,119,0
1609044302,256,0
1609051502,290,0
1609055102,89,0
1609058702,157,0
1609062302,157,0
1609065902,157,0
1609069502,115,0
1609076702,275,0
1609080302,131,0
1609088402,314,0
1609092002,166,0
1609095602,161,0
1609099202,111,0
1609102802,101,0
1609106403,134,0
1609110002,154,0
1609117202,225,3542
1609120802,101,0
1609124402,122,0
1609128002,179,0
1609131602,125,0
1609135202,201,0
1609138802,140,0
1609146002,356,0
1609150502,210,0
1609154102,193,0
1609157702,158,0
1609164902,306,0
1609168502,140,0
1609172102,133,0
1609175702,182,0
1609179301,145,0
1609182902,166,0
1609186502,100,0
1609193702,285,0
1609197302,130,0
1609204502,255,3298
1609209002,158,0
1609216202,253,0
1609219802,139,0
1609223403,160,0
1609227002,253,0
1609230602,152,0
1609234202,127,0
1609241402,311,0
1609245002,198,0
1609249501,141,0
1609253102,122,0
1609256702,121,0
1609260302,117,0
1609267502,289,0
1609271102,162,0
1609274702,101,0
1609278302,122,0
1609281902,129,0
1609289102,226,3649
1609292702,125,0
1609300802,305,0
1609304402,174,0
1609308002,203,0
1609311602,207,0
1609315202,177,0
1609322402,340,0
1609326002,193,0
1609329602,183,0
1609333202,142,0
1609336802,153,0
1609340402,147,0
1609344002,182,0
1609347603,158,0
1609351203,167,0
1609354803,169,0
1609362002,291,2
1609366502,207,0
1609370102,160,0
1609377302,388,3387
1609380902,194,0
1609388102,406,0
1609391702,196,0
1609395302,296,0
1609398902,201,0
1609406102,367,0
1609409702,170,0
1609417802,415,0
1609425002,261,0
1609432202,331,0
1609435802,141,0
1609440302,141,0
1609443902,116,0
1609447502,103,0
1609451102,99,0
1609454702,90,0
1609458303,95,0
1609461902,119,3143
1609465502,147,0
1609469102,144,0
1609472701,171,0
1609476301,149,0
1609479903,141,0
1609487102,294,0
1609490701,122,0
1609498802,294,0
1609502402,101,0
1609506003,171,0
1609509602,137,0
1609513202,103,0
1609520402,233,0
1609524002,118,0
1609527602,104,0
1609531202,137,0
1609534802,94,0
1609538402,95,0
1609542003,107,0
1609545602,98,3111
1609549202,128,0
1609552802,96,0
1609557302,151,0
1609560902,115,0
1609564503,145,0
1609568102,172,0
1609571702,106,0
1609578902,283,0
1609582501,138,0
1609589701,258,0
1609593302,120,0
1609597801,160,0
1609601401,110,0
1609605002,100,0
1609608602,90,0
1609612202,150,0
1609619402,194,0
1609626602,206,0
1609633802,125,3051
1609637402,96,0
1609641002,121,0
1609645502,151,0
1609649102,84,0
1609652702,140,0
1609659902,218,0
1609663502,115,0
1609667103,108,0
1609670702,113,0
1609674303,149,0
1609677903,99,0
1609686002,282,0
1609689602,91,0
1609693203,119,0
1609696803,125,0
1609700402,149,0
1609704002,88,0
1609711202,232,0
1609714803,131,0
1609718402,101,3495
1609722002,116,0
1609725602,193,0
1609729202,213,0
1609732802,136,0
1609736402,146,0
1609744502,416,0
1609748102,240,0
1609755302,354,0
1609762501,328,0
1609766102,148,0
1609769702,215,0
1609773302,185,0
1609776901,279,0
1609780502,144,0
1609787701,347,0
1609791302,111,0
1609794902,144,0
1609799402,153,0
1609806602,251,2888
1609810202,131,0
1609813801,136,0
1609821002,296,0
1609824601,201,0
1609831802,473,0
1609836302,267,0
1609839902,182,0
1609843502,225,0
1609847102,174,0
1609854301,329,0
1609857902,171,0
1609865103,308,0
1609872303,297,0
1609875902,167,0
1609879501,123,0
1609883101,148,0
1609886702,126,0
1609890302,84,0
1609893902,175,4002
1609897502,129,0
1609904702,292,0
1609908301,123,0
1609916402,351,0
1609920003,184,0
1609923602,148,0
1609927202,168,0
1609930802,187,0
1609934402,174,0
1609938002,195,0
1609941602,182,0
1609945202,166,0
1609948802,159,0
1609956002,296,0
1609959602,114,0
1609966802,219,0
1609974002,248,0
1609977602,106,4054
1609981203,182,0
1609984802,128,0
1609992902,338,0
1609996502,138,0
1610003702,284,0
1610010902,378,0
1610014501,200,0
1610021702,343,0
1610025302,138,0
1610028901,157,0
1610032501,135,0
1610036102,160,0
1610039703,154,0
1610043302,117,0
1610046902,121,0
1610050501,105,0
1610054102,137,0
1610057702,119,0
1610064902,191,3743
1610068502,128,0
1610076602,294,0
1610077502,30,0
1610080202,97,0
1610083803,156,0
1610084702,38,0
1610091002,342,0
1610094602,175,0
1610100903,315,0
1610108102,381,0
1610112602,182,0
1610116202,135,0
1610119802,243,0
1610127002,543,0
1610134202,215,0
1610141402,262,0
1610145002,95,0
1610148602,107,0
1610152202,101,3834
1610155802,193,0
1610160302,207,0
1610163902,110,0
1610167501,101,0
1610171102,148,0
1610174702,141,0
1610181902,288,0
1610185501,148,0
1610192701,317,0
1610196302,157,0
1610199902,133,0
1610203502,132,0
1610207102,146,0
1610210702,125,0
1610218803,308,0
1610222402,111,0
1610226002,155,0
1610229602,128,0
1610233202,124,0
1610240402,194,3916
1610247602,248,0
1610254803,233,0
1610258402,126,0
1610262002,149,0
1610265602,93,0
1610269202,116,0
1610272802,145,0
1610276403,127,0
1610280003,108,0
1610283602,93,0
1610290802,238,0
1610294402,95,0
1610298002,137,0
1610302502,136,0
1610309703,241,0
1610313302,142,0
1610316902,171,0
1610320502,116,0
1610327701,217,3271
1610331301,97,0
1610338502,215,0
1610343002,251,0
1610346602,145,0
1610350202,139,0
1610357402,301,0
1610364602,270,0
1610368202,174,0
1610371802,172,0
1610375402,185,0
1610379002,158,0
1610382602,128,0
1610389803,301,0
1610394302,162,0
1610397902,197,0
1610401503,114,0
1610408702,215,0
1610412302,126,2959
1610415902,130,0
1610423102,308,0
1610426701,158,0
1610430303,147,0
1610433902,142,0
1610441102,272,0
1610445602,206,0
1610449202,139,0
1610452802,125,0
1610456401,172,0
1610463602,283,0
1610470802,268,0
1610474402,150,0
1610478002,126,0
1610481603,127,0
1610485203,110,0
1610488803,123,0
1610492402,122,0
1610496002,100,3628
1610500502,183,0
1610507702,286,0
1610514902,286,0
1610518502,152,0
1610522102,158,0
1610525701,146,0
1610529302,155,0
1610532903,182,0
1610536502,136,0
1610540102,213,0
1610544603,227,0
1610548203,139,0
1610551802,134,0
1610559002,289,0
1610566202,237,0
