DateTime,AddedIPs,RemovedIPs
1605929503,1,0
1605936093,1,0
1605940254,1,0
1605944442,1,0
1605961196,3,0
1605969579,1,0
1605994740,1,0
1606003121,1,0
1606007300,1,0
1606015684,1,0
1606019883,1,0
1606028440,4,0
1606041352,1,0
1606056087,3,0
1606068769,1,0
1606077180,1,0
1606081374,1,0
1606089747,1,0
1606098167,1,0
1606106584,1,0
1606110791,1,0
1606115014,2,0
1606123617,1,0
1606127932,1,0
1606134583,1,0
1606145386,1,0
1606156417,4,0
1606160590,1,0
1606173142,3,0
1606177322,1,0
1606181531,2,0
1606189962,3,0
1606198347,3,0
1606206738,1,0
1606215138,2,0
1606223538,1,0
1606227707,1,0
1606231888,1,0
1606240189,1,0
1606265604,12,0
1606282657,3,0
1606291179,1,0
1606299624,1,0
1606311894,1,0
1606328682,4,0
1606339526,3,0
1606348211,3,0
1606356953,4,0
1606365332,1,0
1606373648,2,0
1606382104,1,0
1606386317,1,0
1606405601,2,0
1606409814,2,0
1606426721,1,0
1606438620,1,0
1606442903,1,0
1606451293,2,0
1606462087,7,0
1606470757,3,0
1606487687,5,0
1606491909,4,0
1606496154,1,0
1606500565,2,0
1606519951,2,0
1606528454,2,0
1606536934,1,0
1606545391,1,0
1606557608,1,0
1606570292,1,0
1606576901,1,0
1606581102,1,0
1606598557,5,0
1606607156,4,0
1606615594,2,0
1606624081,3,0
1606632594,3,0
1606641109,1,0
1606649641,1,0
1606660713,2,0
1606664968,1,0
1606669243,1,0
1606677782,1,0
1606688748,4,0
1606696713,2,0
1606700982,1,0
1606718023,1,0
1606734549,1,0
1606746797,1,0
1606751027,1,0
1606755354,2,0
1606776096,1,0
1606784521,2,0
1606801488,3,0
1606805671,1,0
1606809847,2,0
1606818202,3,0
1606834865,1,0
1606854186,1,0
1606858624,1,0
1606875317,3,0
1606883627,4,0
1606891977,8,0
1606900356,1,0
1606917059,3,0
1606925441,1,0
1606933800,1,0
1606938004,1,0
1606950563,3,0
1606961367,4,0
1606965910,1,0
1606974623,1,0
1606978830,1,0
1606983052,2,0
1606993884,2,0
1607002475,1,0
1607015317,1,0
1607019506,1,0
1607023718,1,0
1607027927,2,0
1607036395,2,0
1607044872,1,0
1607053326,1,0
1607061791,3,0
1607066175,1,0
1607070395,1,0
1607078886,17,0
1607083148,1,0
1607095889,1,0
1607104357,1,0
1607112815,1,0
1607121311,1,0
1607129752,1,0
1607140545,1,0
1607148943,1,0
1607157378,2,0
1607162105,1,0
1607187971,1,0
1607192183,1,0
1607196472,4,0
1607213609,3,0
1607222082,1,0
1607239348,2,0
1607243579,1,0
1607258685,1,0
1607275898,2,0
1607284336,1,0
1607296480,1,0
1607324306,3,0
1607332662,1,0
1607341233,1,0
1607366522,1,0
1607370709,1,0
1607374919,1,0
1607383324,1,0
1607415204,2,0
1607419499,1,0
1607436178,1,0
1607442755,1,0
1607456639,1,0
1607477226,1,0
1607485627,2,0
1607493631,1,0
1607513966,3,0
1607524514,2,0
1607532912,2,42
1607537022,0,923
1607541108,3,0
1607549525,2,0
1607582406,4,0
1607598846,1,0
1607607024,3,0
1607615267,1,0
1607623504,6,0
1607631790,1,0
1607640041,1,0
1607667437,2,0
1607675802,1,0
1607684156,2,0
1607711647,2,0
1607720152,1,0
1607726727,1,0
1607733220,2,0
1607741579,2,0
1607745762,1,0
1607758439,2,0
1607766815,2,0
1607792307,1,0
1607800753,5,0
1607809189,1,60
1607817613,3,0
1607826107,1,0
1607834660,2,0
1607843141,3,0
1607851890,1,0
1607860387,3,0
1607879958,1,0
1607884199,2,0
1607888354,1,0
1607901117,1,0
